Unnamed: 0,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 33_level_0_Matches,Team,Unnamed: 4_level_0_MP
0,Unai Simó,es ESP,GK,23,37,37,3330,37,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,Matches,AC,
1,Iñigo Martín,es ESP,DF,29,28,28,2519,28,1,0,1,1,0,0,9,1,1.1,1.1,0.5,1.7,31,125,7,0.04,0,0.04,0.04,0.04,0.04,0.02,0.06,0.04,0.06,Matches,AC,
2,Iñaki William,gh GHA,FW,26,38,27,2387,26.5,6,6,12,5,1,1,1,0,6.2,5.4,5.1,10.5,73,34,233,0.23,0.23,0.45,0.19,0.41,0.23,0.19,0.43,0.2,0.4,Matches,AC,
3,�lex Berenguer,es ESP,"MF,FW",25,35,27,2278,25.3,8,4,12,8,0,0,4,0,6.2,6.2,3.4,9.7,64,85,201,0.32,0.16,0.47,0.32,0.47,0.25,0.14,0.38,0.25,0.38,Matches,AC,
4,Ander Capa,es ESP,DF,28,28,25,2131,23.7,2,1,3,2,0,0,5,0,1.1,1.1,1.1,2.3,66,80,100,0.08,0.04,0.13,0.08,0.13,0.05,0.05,0.1,0.05,0.1,Matches,AC,
5,Unai Núñ,es ESP,DF,23,25,23,2109,23.4,1,1,2,1,0,0,6,0,1.8,1.8,0.3,2.1,10,65,1,0.04,0.04,0.09,0.04,0.09,0.08,0.01,0.09,0.08,0.09,Matches,AC,
6,Iker Muniain,es ESP,"MF,FW",27,28,23,1943,21.6,5,3,8,5,0,0,1,0,4.5,4.5,3.4,7.9,72,164,133,0.23,0.14,0.37,0.23,0.37,0.21,0.16,0.37,0.21,0.37,Matches,AC,
7,Yeray Álvare,es ESP,DF,25,23,22,1948,21.6,1,0,1,1,0,0,6,0,0.6,0.6,0.5,1.1,19,65,2,0.05,0,0.05,0.05,0.05,0.03,0.02,0.05,0.03,0.05,Matches,AC,
8,Dani Garcí,es ESP,MF,30,27,21,1920,21.3,0,1,1,0,0,0,8,0,0.3,0.3,0.6,0.9,14,108,12,0,0.05,0.05,0,0.05,0.02,0.03,0.04,0.02,0.04,Matches,AC,
9,Raúl Garc�,es ESP,"FW,MF",34,34,21,1743,19.4,5,1,6,3,2,3,8,2,6.1,3.7,1.3,5,17,73,74,0.26,0.05,0.31,0.15,0.21,0.31,0.06,0.38,0.19,0.26,Matches,AC,
10,Yuri Berchiche,es ESP,DF,30,23,21,1682,18.7,1,3,4,1,0,0,3,0,0.9,0.9,2,2.9,55,98,105,0.05,0.16,0.21,0.05,0.21,0.05,0.11,0.15,0.05,0.15,Matches,AC,
11,Mikel Vesga,es ESP,MF,27,30,20,1722,19.1,0,1,1,0,0,0,7,0,1.6,1.6,1.1,2.6,14,95,15,0,0.05,0.05,0,0.05,0.08,0.06,0.14,0.08,0.14,Matches,AC,
12,Unai Vencedor Paris,es ESP,MF,19,28,19,1701,18.9,0,0,0,0,0,0,6,0,0.3,0.3,0.2,0.6,7,122,9,0,0,0,0,0,0.02,0.01,0.03,0.02,0.03,Matches,AC,
13,Mikel Balenziaga,es ESP,DF,32,23,17,1689,18.8,0,1,1,0,0,0,0,0,0.1,0.1,0.8,0.9,28,52,48,0,0.05,0.05,0,0.05,0,0.04,0.05,0,0.05,Matches,AC,
14,�scar de Marcos,es ESP,"DF,MF",31,25,17,1520,16.9,1,2,3,1,0,0,2,0,1.8,1.8,2,3.8,54,49,107,0.06,0.12,0.18,0.06,0.18,0.11,0.12,0.22,0.11,0.22,Matches,AC,
15,Asier Villalibre,es ESP,FW,22,35,16,1589,17.7,4,2,6,4,0,0,1,0,4.3,4.3,2.3,6.6,25,24,107,0.23,0.11,0.34,0.23,0.34,0.24,0.13,0.37,0.24,0.37,Matches,AC,
