Unnamed: 0,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Team,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 33_level_0_Matches,Playing Time_MP
0,Iñaki Williams,gh GHA,!merged,FW,28.0,36.0,34,2836.0,31.5,10.0,3.0,13.0,9.0,1.0,2.0,2.0,0.0,10.7,9.1,4.8,13.9,127.0,61.0,341.0,0.32,0.1,0.41,0.29,0.38,0.34,0.15,0.49,0.29,0.44,Matches,
1,Óscar de Marcos,es ESP,!merged,DF,33.0,37.0,32,2819.0,31.3,1.0,6.0,7.0,1.0,0.0,0.0,7.0,0.0,0.4,0.4,3.5,4.0,76.0,204.0,153.0,0.03,0.19,0.22,0.03,0.22,0.01,0.11,0.13,0.01,0.13,Matches,
2,Nico Williams,es ESP,!merged,FW,20.0,36.0,32,2656.0,29.5,6.0,4.0,10.0,6.0,0.0,0.0,3.0,0.0,4.9,4.9,6.4,11.3,174.0,80.0,321.0,0.2,0.14,0.34,0.2,0.34,0.17,0.22,0.38,0.17,0.38,Matches,
3,Oihan Sancet,es ESP,!merged,MF,22.0,36.0,32,2532.0,28.1,10.0,2.0,12.0,8.0,2.0,2.0,6.0,1.0,7.6,6.0,4.2,10.2,91.0,159.0,156.0,0.36,0.07,0.43,0.28,0.36,0.27,0.15,0.42,0.21,0.36,Matches,
4,Unai Simón,es ESP,!merged,GK,25.0,31.0,31,2745.0,30.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,
5,Mikel Vesga,es ESP,!merged,MF,29.0,36.0,28,2575.0,28.6,3.0,3.0,6.0,1.0,2.0,3.0,5.0,0.0,3.9,1.5,1.5,3.0,26.0,199.0,31.0,0.1,0.1,0.21,0.03,0.14,0.14,0.05,0.19,0.05,0.11,Matches,
6,Yuri Berchiche,es ESP,!merged,DF,32.0,29.0,27,2406.0,26.7,1.0,1.0,2.0,1.0,0.0,0.0,9.0,1.0,1.3,1.3,1.4,2.7,59.0,179.0,95.0,0.04,0.04,0.07,0.04,0.07,0.05,0.05,0.1,0.05,0.1,Matches,
7,Yeray Álvarez,es ESP,!merged,DF,27.0,28.0,27,2332.0,25.9,1.0,1.0,2.0,1.0,0.0,0.0,7.0,1.0,0.8,0.8,1.1,1.9,32.0,152.0,8.0,0.04,0.04,0.08,0.04,0.08,0.03,0.04,0.07,0.03,0.07,Matches,
8,Daniel Vivian,es ESP,!merged,DF,23.0,29.0,26,2376.0,26.4,1.0,0.0,1.0,1.0,0.0,0.0,7.0,1.0,1.2,1.2,0.7,2.0,25.0,124.0,5.0,0.04,0.0,0.04,0.04,0.04,0.05,0.03,0.07,0.05,0.07,Matches,
9,Álex Berenguer,es ESP,!merged,FW,27.0,37.0,26,2297.0,25.5,4.0,1.0,5.0,4.0,0.0,0.0,2.0,0.0,4.3,4.3,4.6,9.0,73.0,77.0,249.0,0.16,0.04,0.2,0.16,0.2,0.17,0.18,0.35,0.17,0.35,Matches,
10,Iker Muniain,es ESP,!merged,"MF,FW",29.0,30.0,19,1689.0,18.8,0.0,3.0,3.0,0.0,0.0,0.0,2.0,0.0,3.0,3.0,3.9,6.9,50.0,154.0,103.0,0.0,0.16,0.16,0.0,0.16,0.16,0.21,0.37,0.16,0.37,Matches,
11,Dani García,es ESP,!merged,MF,32.0,25.0,18,1485.0,16.5,0.0,2.0,2.0,0.0,0.0,0.0,6.0,0.0,1.4,1.4,0.7,2.1,6.0,73.0,8.0,0.0,0.12,0.12,0.0,0.12,0.09,0.04,0.13,0.09,0.13,Matches,
12,Gorka Guruzeta,es ESP,!merged,FW,25.0,30.0,17,1421.0,15.8,6.0,1.0,7.0,6.0,0.0,0.0,2.0,0.0,6.1,6.1,1.0,7.1,15.0,37.0,93.0,0.38,0.06,0.44,0.38,0.44,0.39,0.06,0.45,0.39,0.45,Matches,
