,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 33_level_0_Matches
0,Luis Rioja,es ESP,"MF,FW",27.0,37,36,3111.0,34.6,1.0,3.0,4.0,1.0,0.0,0.0,3.0,0.0,3.0,3.0,5.1,8.2,122.0,77.0,213.0,0.03,0.09,0.12,0.03,0.12,0.09,0.15,0.24,0.09,0.24,Matches
1,Joselu,es ESP,FW,31.0,37,35,3122.0,34.7,14.0,4.0,18.0,8.0,6.0,7.0,0.0,0.0,12.9,7.4,4.5,11.9,27.0,108.0,137.0,0.4,0.12,0.52,0.23,0.35,0.37,0.13,0.5,0.21,0.34,Matches
2,Fernando Pacheco,es ESP,GK,29.0,34,34,3053.0,33.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches
3,Víctor Laguardia,es ESP,DF,31.0,34,34,3042.0,33.8,3.0,2.0,5.0,3.0,0.0,0.0,9.0,0.0,2.0,2.0,0.9,2.9,2.0,72.0,3.0,0.09,0.06,0.15,0.09,0.15,0.06,0.03,0.09,0.06,0.09,Matches
4,Rubén Duarte,es ESP,DF,25.0,34,31,2621.0,29.1,0.0,4.0,4.0,0.0,0.0,0.0,12.0,1.0,0.4,0.4,2.5,2.8,35.0,85.0,46.0,0.0,0.14,0.14,0.0,0.14,0.01,0.09,0.1,0.01,0.1,Matches
5,Florian Lejeune,fr FRA,DF,30.0,30,30,2699.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,1.5,1.5,0.2,1.7,6.0,74.0,4.0,0.0,0.0,0.0,0.0,0.0,0.05,0.01,0.06,0.05,0.06,Matches
6,Mamadou Loum,sn SEN,MF,24.0,32,26,2312.0,25.7,2.0,0.0,2.0,2.0,0.0,0.0,10.0,0.0,2.9,2.9,0.6,3.4,13.0,72.0,14.0,0.08,0.0,0.08,0.08,0.08,0.11,0.02,0.13,0.11,0.13,Matches
7,Martin Agirregabiria,es ESP,DF,25.0,24,17,1616.0,18.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.2,0.2,0.7,0.8,15.0,57.0,40.0,0.0,0.06,0.06,0.0,0.06,0.01,0.04,0.05,0.01,0.05,Matches
8,Édgar Méndez,es ESP,"FW,MF",31.0,32,17,1614.0,17.9,1.0,1.0,2.0,1.0,0.0,0.0,6.0,0.0,1.5,1.5,2.5,4.0,18.0,31.0,112.0,0.06,0.06,0.11,0.06,0.11,0.08,0.14,0.22,0.08,0.22,Matches
9,Toni Moya,es ESP,MF,23.0,28,17,1386.0,15.4,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,1.3,1.3,1.8,3.1,19.0,43.0,17.0,0.0,0.06,0.06,0.0,0.06,0.08,0.12,0.2,0.08,0.2,Matches
10,Pere Pons,es ESP,MF,28.0,27,17,1366.0,15.2,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.5,1.5,0.6,2.1,20.0,37.0,50.0,0.07,0.0,0.07,0.07,0.07,0.1,0.04,0.14,0.1,0.14,Matches
11,Tomás Pina Isla,es ESP,MF,33.0,29,16,1444.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.5,0.5,0.3,0.7,4.0,50.0,8.0,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.05,0.03,0.05,Matches
12,Ximo Navarro,es ESP,DF,31.0,18,16,1347.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.6,0.6,0.4,1.0,21.0,35.0,24.0,0.0,0.0,0.0,0.0,0.0,0.04,0.03,0.07,0.04,0.07,Matches
13,Gonzalo Escalante,ar ARG,MF,28.0,17,15,1300.0,14.4,5.0,0.0,5.0,5.0,0.0,0.0,8.0,1.0,3.2,3.2,0.2,3.4,7.0,41.0,15.0,0.35,0.0,0.35,0.35,0.35,0.22,0.01,0.23,0.22,0.23,Matches
14,Nahuel Tenaglia,ar ARG,DF,25.0,14,12,1073.0,11.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,0.1,0.4,17.0,42.0,15.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,Matches
15,Manu García,es ESP,MF,23.0,24,10,1077.0,12.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.3,0.3,1.1,1.4,23.0,79.0,30.0,0.0,0.08,0.08,0.0,0.08,0.03,0.09,0.12,0.03,0.12,Matches
16,Miguel,es ESP,"FW,MF",21.0,22,10,829.0,9.2,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,1.9,1.9,0.3,2.2,17.0,6.0,62.0,0.11,0.11,0.22,0.11,0.22,0.21,0.03,0.24,0.21,0.24,Matches
17,Jason,es ESP,"MF,FW",27.0,14,10,678.0,7.5,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.9,0.9,1.7,2.6,11.0,10.0,31.0,0.0,0.13,0.13,0.0,0.13,0.13,0.22,0.35,0.13,0.35,Matches
18,Matt Miazga,us USA,DF,26.0,11,9,833.0,9.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,0.2,0.6,0.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.04,0.02,0.06,0.04,0.06,Matches
19,Facundo Pellistri,uy URU,"MF,FW",19.0,21,6,672.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,1.0,24.0,11.0,42.0,0.0,0.0,0.0,0.0,0.0,0.07,0.06,0.13,0.07,0.13,Matches
20,Javi López,es ESP,DF,19.0,9,4,462.0,5.1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.4,0.4,6.0,13.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.08,0.0,0.08,Matches
21,Mamadou Sylla,sn SEN,"FW,MF",27.0,13,4,394.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,0.4,0.1,0.5,5.0,4.0,29.0,0.0,0.0,0.0,0.0,0.0,0.1,0.03,0.12,0.1,0.12,Matches
22,Antonio Sivera,es ESP,GK,24.0,4,3,277.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
23,Manu Vallejo,es ESP,"MF,FW",24.0,11,2,370.0,4.1,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.7,0.7,0.3,1.0,5.0,8.0,25.0,0.24,0.24,0.49,0.24,0.49,0.16,0.08,0.24,0.16,0.24,Matches
24,John Guidetti,se SWE,"FW,MF",29.0,10,2,279.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.2,1.1,1.0,3.0,21.0,0.0,0.0,0.0,0.0,0.0,0.31,0.06,0.37,0.31,0.37,Matches
25,Tachi,es ESP,DF,23.0,5,2,239.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,Matches
26,Iván Martín,es ESP,"MF,FW",22.0,6,2,166.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,2.0,9.0,5.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.05,Matches
27,Jesús Owono,gq EQG,GK,20.0,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
28,Marc Tenas,es ESP,"FW,MF",20.0,3,0,54.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.35,0.0,0.35,Matches
29,Mircea Ţîrlea,ro ROU,DF,21.0,1,0,15.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
30,Unai Ropero,es ESP,MF,19.0,1,0,12.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
