,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 33_level_0_Matches
0,Nolito,es ESP,"MF,FW",33.0,36,35,2597.0,28.9,7.0,5.0,12.0,7.0,0.0,0.0,7.0,0.0,5.9,5.9,5.1,11.0,35.0,126.0,163.0,0.24,0.17,0.42,0.24,0.42,0.2,0.18,0.38,0.2,0.38,Matches
1,Denis Suárez,es ESP,MF,26.0,35,34,2852.0,31.7,0.0,9.0,9.0,0.0,0.0,0.0,10.0,0.0,1.1,1.1,5.9,7.0,82.0,204.0,87.0,0.0,0.28,0.28,0.0,0.28,0.03,0.19,0.22,0.03,0.22,Matches
2,Iago Aspas,es ESP,FW,32.0,33,33,2864.0,31.8,14.0,13.0,27.0,9.0,5.0,5.0,9.0,0.0,12.4,8.5,9.0,17.5,93.0,144.0,269.0,0.44,0.41,0.85,0.28,0.69,0.39,0.28,0.67,0.27,0.55,Matches
3,Renato Tapia,pe PER,MF,25.0,32,32,2701.0,30.0,0.0,1.0,1.0,0.0,0.0,0.0,11.0,0.0,1.0,1.0,1.0,2.0,26.0,120.0,10.0,0.0,0.03,0.03,0.0,0.03,0.03,0.03,0.07,0.03,0.07,Matches
4,Jeison Murillo,co COL,DF,28.0,31,31,2699.0,30.0,2.0,0.0,2.0,2.0,0.0,0.0,11.0,1.0,0.8,0.8,0.2,1.0,4.0,53.0,2.0,0.07,0.0,0.07,0.07,0.07,0.03,0.01,0.03,0.03,0.03,Matches
5,Brais Méndez,es ESP,"MF,FW",23.0,34,30,2671.0,29.7,9.0,0.0,9.0,8.0,1.0,1.0,8.0,0.0,8.2,7.4,2.3,9.8,37.0,118.0,144.0,0.3,0.0,0.3,0.27,0.27,0.28,0.08,0.36,0.25,0.33,Matches
6,Hugo Mallo,es ESP,DF,29.0,31,30,2602.0,28.9,3.0,1.0,4.0,3.0,0.0,0.0,8.0,0.0,2.6,2.6,3.1,5.6,55.0,112.0,153.0,0.1,0.03,0.14,0.1,0.14,0.09,0.11,0.19,0.09,0.19,Matches
7,Santi Mina,es ESP,FW,24.0,34,29,2412.0,26.8,12.0,3.0,15.0,11.0,1.0,1.0,4.0,0.0,9.2,8.4,1.9,10.3,17.0,40.0,135.0,0.45,0.11,0.56,0.41,0.52,0.34,0.07,0.41,0.31,0.38,Matches
8,Néstor Araujo,mx MEX,DF,28.0,33,26,2426.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.4,0.4,0.8,1.1,26.0,82.0,1.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.04,0.01,0.04,Matches
9,Iván Villar,es ESP,GK,23.0,21,19,1781.0,19.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
