,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 33_level_0_Matches
0,Javi Galán,es ESP,DF,27.0,37,36,3160.0,35.1,0.0,3.0,3.0,0.0,0.0,0.0,6.0,0.0,0.6,0.6,4.1,4.6,141.0,125.0,244.0,0.0,0.09,0.09,0.0,0.09,0.02,0.12,0.13,0.02,0.13,Matches
1,Unai Núñez,es ESP,DF,25.0,36,35,3151.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.2,1.2,0.1,1.3,31.0,146.0,5.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.04,0.03,0.04,Matches
2,Joseph Aidoo,gh GHA,DF,26.0,35,35,3119.0,34.7,3.0,0.0,3.0,3.0,0.0,0.0,6.0,1.0,1.0,1.0,0.1,1.1,15.0,95.0,2.0,0.09,0.0,0.09,0.09,0.09,0.03,0.0,0.03,0.03,0.03,Matches
3,Fran Beltrán,es ESP,MF,23.0,36,33,2855.0,31.7,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,0.9,0.9,1.7,2.6,27.0,138.0,33.0,0.0,0.06,0.06,0.0,0.06,0.03,0.05,0.08,0.03,0.08,Matches
4,Iago Aspas,es ESP,FW,34.0,37,31,2868.0,31.9,12.0,3.0,15.0,10.0,2.0,3.0,6.0,0.0,11.0,8.7,5.6,14.3,80.0,162.0,239.0,0.38,0.09,0.47,0.31,0.41,0.35,0.18,0.52,0.27,0.45,Matches
5,Gabriel Veiga,es ESP,MF,20.0,36,28,2294.0,25.5,11.0,4.0,15.0,11.0,0.0,0.0,6.0,1.0,6.1,6.1,2.6,8.7,68.0,109.0,88.0,0.43,0.16,0.59,0.43,0.59,0.24,0.1,0.34,0.24,0.34,Matches
6,Hugo Mallo,es ESP,DF,31.0,26,26,2163.0,24.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0,1.0,1.4,1.4,2.6,3.9,27.0,93.0,108.0,0.0,0.04,0.04,0.0,0.04,0.06,0.11,0.16,0.06,0.16,Matches
7,Carles Pérez,es ESP,"MF,FW",24.0,35,23,2144.0,23.8,3.0,5.0,8.0,3.0,0.0,0.0,5.0,0.0,2.7,2.7,2.0,4.7,93.0,66.0,185.0,0.13,0.21,0.34,0.13,0.34,0.12,0.08,0.2,0.12,0.2,Matches
8,Franco Cervi,ar ARG,"MF,DF",28.0,36,21,1894.0,21.0,0.0,4.0,4.0,0.0,0.0,0.0,2.0,1.0,2.3,2.3,2.7,5.1,45.0,69.0,113.0,0.0,0.19,0.19,0.0,0.19,0.11,0.13,0.24,0.11,0.24,Matches
9,Jørgen Strand Larsen,no NOR,FW,22.0,32,20,1705.0,18.9,4.0,4.0,8.0,4.0,0.0,0.0,4.0,0.0,5.6,5.6,2.0,7.6,17.0,14.0,73.0,0.21,0.21,0.42,0.21,0.42,0.3,0.11,0.4,0.3,0.4,Matches
