,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 33_level_0_Matches
0,Jeremías Ledesma,ar ARG,GK,28.0,38,38,3420.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
1,Alfonso Espino,uy URU,DF,29.0,37,37,3329.0,37.0,2.0,2.0,4.0,2.0,0.0,0.0,6.0,0.0,1.7,1.5,2.5,4.0,62.0,124.0,123.0,0.05,0.05,0.11,0.05,0.11,0.05,0.07,0.11,0.04,0.11,Matches
2,Álvaro Negredo,es ESP,FW,35.0,34,24,2157.0,24.0,7.0,2.0,9.0,5.0,2.0,3.0,3.0,0.0,7.3,4.9,2.7,7.6,20.0,50.0,104.0,0.29,0.08,0.38,0.21,0.29,0.3,0.11,0.42,0.21,0.32,Matches
3,Fali,es ESP,"DF,MF",27.0,28,23,1803.0,20.0,0.0,2.0,2.0,0.0,0.0,0.0,6.0,0.0,0.7,0.7,1.4,2.0,9.0,49.0,6.0,0.0,0.1,0.1,0.0,0.1,0.03,0.07,0.1,0.03,0.1,Matches
4,Álex Fernández,es ESP,MF,28.0,32,22,2051.0,22.8,3.0,2.0,5.0,2.0,1.0,2.0,2.0,0.0,3.0,1.5,1.3,2.7,48.0,122.0,44.0,0.13,0.09,0.22,0.09,0.18,0.13,0.06,0.19,0.06,0.12,Matches
5,Carlos Akapo,gq EQG,DF,28.0,25,21,1844.0,20.5,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.5,0.5,0.3,0.8,35.0,51.0,52.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.02,0.04,Matches
6,Anthony Lozano,hn HON,"FW,MF",28.0,31,21,1672.0,18.6,7.0,2.0,9.0,7.0,0.0,0.0,8.0,0.0,5.1,5.0,0.9,5.9,43.0,25.0,84.0,0.38,0.11,0.48,0.38,0.48,0.27,0.05,0.32,0.27,0.32,Matches
7,Víctor Chust,es ESP,DF,21.0,25,20,1830.0,20.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.7,0.7,0.0,0.7,17.0,47.0,1.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches
8,Rubén Sobrino,es ESP,"FW,MF",29.0,33,19,1861.0,20.7,4.0,1.0,5.0,4.0,0.0,0.0,4.0,0.0,5.4,5.3,1.8,7.1,36.0,38.0,87.0,0.19,0.05,0.24,0.19,0.24,0.26,0.09,0.35,0.26,0.35,Matches
9,Isaac Carcelen,es ESP,"DF,MF",28.0,25,17,1544.0,17.2,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.4,0.4,0.5,0.9,29.0,62.0,32.0,0.0,0.06,0.06,0.0,0.06,0.02,0.03,0.05,0.02,0.05,Matches
