,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 33_level_0_Matches
0,Kiké,es ESP,FW,30.0,37,36,3087.0,34.3,12.0,2.0,14.0,12.0,0.0,0.0,4.0,1.0,10.8,10.8,2.1,12.9,36.0,53.0,247.0,0.35,0.06,0.41,0.35,0.41,0.31,0.06,0.38,0.31,0.38,Matches
1,Marko Dmitrović,rs SRB,GK,28.0,35,35,3120.0,34.7,1.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,1.6,0.0,0.7,0.7,0.0,3.0,0.0,0.03,0.0,0.03,0.0,0.0,0.05,0.02,0.07,0.0,0.02,Matches
2,Anaitz Arbilla,es ESP,DF,33.0,34,30,2807.0,31.2,0.0,1.0,1.0,0.0,0.0,0.0,8.0,0.0,1.8,1.8,0.9,2.7,37.0,173.0,19.0,0.0,0.03,0.03,0.0,0.03,0.06,0.03,0.09,0.06,0.09,Matches
3,Paulo Oliveira,pt POR,DF,28.0,31,29,2641.0,29.3,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.9,0.9,0.8,1.6,6.0,80.0,3.0,0.0,0.03,0.03,0.0,0.03,0.03,0.03,0.05,0.03,0.05,Matches
4,Papakouli Diop,sn SEN,MF,34.0,33,28,2324.0,25.8,1.0,1.0,2.0,1.0,0.0,0.0,9.0,2.0,1.7,1.6,0.8,2.4,12.0,98.0,21.0,0.04,0.04,0.08,0.04,0.08,0.06,0.03,0.09,0.06,0.09,Matches
5,Edu Expósito,es ESP,MF,23.0,31,27,2455.0,27.3,0.0,3.0,3.0,0.0,0.0,2.0,4.0,0.0,3.3,1.7,3.6,5.3,45.0,169.0,81.0,0.0,0.11,0.11,0.0,0.11,0.12,0.13,0.25,0.06,0.19,Matches
6,Bryan Gil,es ESP,"MF,FW",19.0,28,26,2265.0,25.2,4.0,3.0,7.0,4.0,0.0,0.0,6.0,0.0,3.6,3.4,5.0,8.4,123.0,79.0,217.0,0.16,0.12,0.28,0.16,0.28,0.14,0.2,0.34,0.13,0.33,Matches
7,Alejandro Pozo Pozo,es ESP,"DF,MF",21.0,30,24,2190.0,24.3,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.4,0.4,1.1,1.5,37.0,75.0,80.0,0.0,0.0,0.0,0.0,0.0,0.02,0.05,0.06,0.02,0.06,Matches
8,Takashi Inui,jp JPN,"MF,FW",32.0,28,22,1819.0,20.2,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.4,2.4,1.7,4.2,59.0,55.0,119.0,0.05,0.0,0.05,0.05,0.05,0.12,0.09,0.21,0.12,0.21,Matches
9,Pedro Bigas,es ESP,DF,29.0,21,19,1529.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9,0.9,0.0,0.9,9.0,42.0,7.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.05,Matches
10,Sergio Álvarez,es ESP,"MF,DF",28.0,27,17,1568.0,17.4,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.4,0.4,0.3,0.8,9.0,49.0,15.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.02,0.04,Matches
11,Sergi Enrich,es ESP,FW,30.0,27,13,1404.0,15.6,3.0,0.0,3.0,3.0,0.0,1.0,1.0,0.0,7.8,7.0,0.8,7.9,14.0,40.0,91.0,0.19,0.0,0.19,0.19,0.19,0.5,0.05,0.55,0.45,0.5,Matches
12,Rober Correa,es ESP,DF,27.0,15,13,1136.0,12.6,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.3,0.3,1.9,2.1,15.0,41.0,26.0,0.0,0.16,0.16,0.0,0.16,0.02,0.15,0.17,0.02,0.17,Matches
13,Yoshinori Mutō,jp JPN,"FW,MF",28.0,26,13,1122.0,12.5,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,2.5,2.5,1.3,3.8,14.0,21.0,71.0,0.08,0.08,0.16,0.08,0.16,0.2,0.1,0.31,0.2,0.31,Matches
14,Rafa Soares,pt POR,DF,25.0,19,12,1134.0,12.6,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,1.8,1.9,17.0,58.0,41.0,0.0,0.08,0.08,0.0,0.08,0.01,0.15,0.15,0.01,0.15,Matches
15,Esteban Burgos,ar ARG,DF,28.0,14,12,1111.0,12.3,3.0,1.0,4.0,1.0,2.0,3.0,5.0,0.0,3.3,1.0,0.8,1.8,4.0,25.0,0.0,0.24,0.08,0.32,0.08,0.16,0.27,0.07,0.34,0.08,0.15,Matches
16,Kévin Rodrigues,pt POR,"DF,MF",26.0,22,11,1095.0,12.2,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.8,0.8,0.5,1.3,14.0,40.0,56.0,0.08,0.08,0.16,0.08,0.16,0.06,0.04,0.11,0.06,0.11,Matches
17,José Ángel,es ESP,DF,30.0,14,11,901.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,1.1,14.0,55.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.11,0.0,0.11,Matches
18,Pedro León,es ESP,"MF,FW",33.0,24,10,935.0,10.4,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,1.3,1.3,2.6,3.9,16.0,19.0,72.0,0.1,0.19,0.29,0.1,0.29,0.12,0.25,0.37,0.12,0.37,Matches
19,Miguel Atienza,es ESP,MF,21.0,12,9,838.0,9.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.1,0.4,5.0,31.0,10.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.05,0.03,0.05,Matches
20,Recio,es ESP,MF,29.0,17,8,734.0,8.2,1.0,0.0,1.0,0.0,1.0,1.0,5.0,0.0,1.3,0.6,0.9,1.5,14.0,40.0,25.0,0.12,0.0,0.12,0.0,0.0,0.17,0.11,0.28,0.07,0.18,Matches
21,Aleix García,es ESP,MF,23.0,11,5,437.0,4.9,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.9,1.0,4.0,26.0,8.0,0.0,0.21,0.21,0.0,0.21,0.02,0.18,0.21,0.02,0.21,Matches
22,Yoel,es ESP,GK,31.0,4,3,300.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
23,Damian Kądzior,pl POL,"FW,MF",28.0,6,2,195.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,1.0,6.0,16.0,0.0,0.0,0.0,0.0,0.0,0.09,0.01,0.1,0.09,0.1,Matches
