,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 33_level_0_Matches
0,Dimitris Siovas,gr GRE,DF,31.0,36,34,3071.0,34.1,2.0,0.0,2.0,2.0,0.0,0.0,5.0,0.0,3.1,3.1,0.7,3.8,22.0,69.0,7.0,0.06,0.0,0.06,0.06,0.06,0.09,0.02,0.11,0.09,0.11,Matches
1,Javi Galán,es ESP,DF,25.0,37,34,3065.0,34.1,1.0,2.0,3.0,1.0,0.0,0.0,5.0,0.0,0.3,0.3,4.0,4.2,94.0,100.0,167.0,0.03,0.06,0.09,0.03,0.09,0.01,0.12,0.12,0.01,0.12,Matches
2,Jorge Pulido,es ESP,DF,29.0,33,32,2885.0,32.1,1.0,0.0,1.0,1.0,0.0,0.0,6.0,1.0,2.6,2.6,0.3,2.9,39.0,99.0,19.0,0.03,0.0,0.03,0.03,0.03,0.08,0.01,0.09,0.08,0.09,Matches
3,Rafa Mir,es ESP,FW,23.0,38,32,2877.0,32.0,13.0,1.0,14.0,11.0,2.0,3.0,2.0,0.0,15.3,13.0,1.0,14.0,42.0,39.0,117.0,0.41,0.03,0.44,0.34,0.38,0.48,0.03,0.51,0.41,0.44,Matches
4,David Ferreiro,es ESP,"MF,FW",32.0,37,29,2527.0,28.1,2.0,4.0,6.0,2.0,0.0,0.0,5.0,0.0,1.8,1.8,6.0,7.8,68.0,113.0,182.0,0.07,0.14,0.21,0.07,0.21,0.06,0.21,0.28,0.06,0.28,Matches
5,Mikel Rico,es ESP,MF,35.0,32,27,2183.0,24.3,1.0,4.0,5.0,1.0,0.0,0.0,2.0,0.0,2.4,2.4,1.3,3.7,21.0,88.0,72.0,0.04,0.16,0.21,0.04,0.21,0.1,0.06,0.15,0.1,0.15,Matches
6,Pablo Maffeo,es ESP,DF,23.0,25,25,1964.0,21.8,1.0,4.0,5.0,1.0,0.0,0.0,4.0,0.0,0.7,0.7,2.7,3.4,47.0,60.0,112.0,0.05,0.18,0.23,0.05,0.23,0.03,0.12,0.15,0.03,0.15,Matches
7,Pedro Mosquera,es ESP,MF,32.0,27,24,2050.0,22.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.7,1.0,18.0,141.0,8.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.04,0.01,0.04,Matches
8,Jaime Seoane,es ESP,MF,23.0,29,23,2064.0,22.9,1.0,1.0,2.0,1.0,0.0,0.0,5.0,0.0,1.5,1.5,1.1,2.5,42.0,87.0,47.0,0.04,0.04,0.09,0.04,0.09,0.06,0.05,0.11,0.06,0.11,Matches
9,Álvaro Fernández,es ESP,GK,22.0,22,22,1980.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
10,Pablo Insua,es ESP,DF,26.0,20,17,1587.0,17.6,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.2,0.2,0.0,0.2,3.0,20.0,3.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Matches
11,Andrés Fernández,es ESP,GK,33.0,16,16,1440.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
12,Sandro Ramírez,es ESP,FW,25.0,20,16,1285.0,14.3,5.0,1.0,6.0,5.0,0.0,0.0,2.0,0.0,2.2,2.2,0.5,2.7,31.0,24.0,74.0,0.35,0.07,0.42,0.35,0.42,0.16,0.03,0.19,0.16,0.19,Matches
13,Shinji Okazaki,jp JPN,"FW,MF",34.0,25,14,1128.0,12.5,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,2.1,2.1,0.2,2.3,8.0,12.0,46.0,0.08,0.08,0.16,0.08,0.16,0.16,0.02,0.18,0.16,0.18,Matches
14,Borja García,es ESP,"MF,FW",29.0,21,13,1117.0,12.4,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.2,1.2,1.1,2.3,23.0,61.0,53.0,0.08,0.0,0.08,0.08,0.08,0.1,0.09,0.19,0.1,0.19,Matches
15,Pedro López Muñoz,es ESP,DF,36.0,22,10,1067.0,11.9,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,1.6,1.7,16.0,48.0,48.0,0.0,0.08,0.08,0.0,0.08,0.01,0.14,0.15,0.01,0.15,Matches
16,Javier Ontiveros,es ESP,"FW,MF",22.0,20,10,918.0,10.2,2.0,1.0,3.0,1.0,1.0,1.0,5.0,0.0,1.9,1.1,2.1,3.2,56.0,42.0,73.0,0.2,0.1,0.29,0.1,0.2,0.19,0.2,0.39,0.11,0.31,Matches
17,Denis Vavro,sk SVK,DF,24.0,11,9,611.0,6.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.0,0.3,5.0,23.0,2.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches
18,Dani Escriche,es ESP,"FW,MF",22.0,23,7,857.0,9.5,1.0,1.0,2.0,1.0,0.0,0.0,5.0,1.0,2.1,2.1,1.3,3.4,28.0,27.0,48.0,0.11,0.11,0.21,0.11,0.21,0.23,0.13,0.36,0.23,0.36,Matches
