,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 33_level_0_Matches
0,Álvaro Vallés,es ESP,GK,26.0,37,37,3263.0,36.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
1,Kirian Rodríguez,es ESP,MF,27.0,37,36,3211.0,35.7,6.0,2.0,8.0,6.0,0.0,0.0,8.0,0.0,2.1,2.1,1.6,3.7,46.0,296.0,78.0,0.17,0.06,0.22,0.17,0.22,0.06,0.05,0.1,0.06,0.1,Matches
2,Mika Màrmol,es ESP,DF,21.0,36,36,3178.0,35.3,0.0,1.0,1.0,0.0,0.0,0.0,6.0,1.0,0.2,0.2,1.0,1.1,36.0,142.0,13.0,0.0,0.03,0.03,0.0,0.03,0.0,0.03,0.03,0.0,0.03,Matches
3,Munir El Haddadi,ma MAR,FW,27.0,38,32,2449.0,27.2,3.0,2.0,5.0,3.0,0.0,1.0,3.0,0.0,4.3,3.5,1.9,5.5,26.0,78.0,167.0,0.11,0.07,0.18,0.11,0.18,0.16,0.07,0.23,0.13,0.2,Matches
4,Sergi Cardona,es ESP,DF,24.0,35,30,2814.0,31.3,1.0,2.0,3.0,1.0,0.0,0.0,11.0,0.0,2.7,2.7,2.8,5.5,60.0,160.0,165.0,0.03,0.06,0.1,0.03,0.1,0.09,0.09,0.18,0.09,0.18,Matches
5,Javier Muñoz,es ESP,MF,28.0,37,30,2640.0,29.3,2.0,3.0,5.0,2.0,0.0,0.0,6.0,0.0,2.5,2.5,1.4,4.0,33.0,122.0,126.0,0.07,0.1,0.17,0.07,0.17,0.09,0.05,0.14,0.09,0.14,Matches
6,Álex Suárez,es ESP,DF,30.0,32,30,2562.0,28.5,2.0,0.0,2.0,2.0,0.0,0.0,7.0,0.0,1.2,1.2,0.2,1.4,12.0,109.0,15.0,0.07,0.0,0.07,0.07,0.07,0.04,0.01,0.05,0.04,0.05,Matches
7,Saúl Coco,gq EQG,DF,24.0,30,26,2295.0,25.5,1.0,0.0,1.0,1.0,0.0,0.0,6.0,1.0,1.1,1.1,0.0,1.1,9.0,69.0,1.0,0.04,0.0,0.04,0.04,0.04,0.04,0.0,0.04,0.04,0.04,Matches
8,Sandro Ramírez,es ESP,FW,28.0,27,21,1808.0,20.1,1.0,3.0,4.0,1.0,0.0,1.0,3.0,0.0,3.7,3.0,2.6,5.6,61.0,54.0,209.0,0.05,0.15,0.2,0.05,0.2,0.19,0.13,0.32,0.15,0.28,Matches
9,Alberto Moleiro,es ESP,"FW,MF",19.0,28,21,1803.0,20.0,3.0,3.0,6.0,3.0,0.0,0.0,1.0,0.0,2.0,2.0,2.7,4.6,86.0,87.0,184.0,0.15,0.15,0.3,0.15,0.3,0.1,0.13,0.23,0.1,0.23,Matches
10,Máximo Perrone,ar ARG,MF,20.0,29,20,1623.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.2,0.2,0.5,0.8,12.0,78.0,22.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.04,0.01,0.04,Matches
11,Enzo Loiodice,fr FRA,MF,22.0,34,19,1790.0,19.9,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.5,0.5,1.3,1.9,27.0,97.0,72.0,0.0,0.05,0.05,0.0,0.05,0.03,0.07,0.09,0.03,0.09,Matches
12,Marvin,es ESP,"FW,DF",23.0,31,17,1855.0,20.6,0.0,2.0,2.0,0.0,0.0,0.0,5.0,0.0,0.9,0.9,2.5,3.5,60.0,36.0,177.0,0.0,0.1,0.1,0.0,0.1,0.05,0.12,0.17,0.05,0.17,Matches
13,Julian Araujo,mx MEX,DF,21.0,25,15,1462.0,16.2,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,0.7,0.7,1.2,1.9,23.0,74.0,47.0,0.06,0.0,0.06,0.06,0.06,0.04,0.07,0.11,0.04,0.11,Matches
14,Sory Kaba,gn GUI,FW,28.0,17,9,720.0,8.0,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,1.5,1.5,0.3,1.8,7.0,12.0,36.0,0.12,0.12,0.25,0.12,0.25,0.18,0.04,0.23,0.18,0.23,Matches
