,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 33_level_0_Matches
0,José Luis Morales,es ESP,"FW,MF",34.0,35,31,2719.0,30.2,13.0,7.0,20.0,10.0,3.0,5.0,7.0,0.0,14.3,10.4,5.2,15.6,100.0,97.0,241.0,0.43,0.23,0.66,0.33,0.56,0.47,0.17,0.65,0.34,0.52,Matches
1,Rúben Vezo,pt POR,DF,27.0,32,27,2420.0,26.9,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.6,0.6,0.5,1.1,21.0,87.0,8.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.02,0.04,Matches
2,Roger Martí,es ESP,FW,30.0,29,25,2115.0,23.5,7.0,3.0,10.0,6.0,1.0,3.0,8.0,0.0,8.4,6.1,3.2,9.3,24.0,50.0,133.0,0.3,0.13,0.43,0.26,0.38,0.36,0.14,0.49,0.26,0.39,Matches
3,Cárdenas,es ESP,GK,24.0,24,24,2160.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
4,José Luis García Vayá,es ESP,MF,22.0,29,23,2012.0,22.4,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.6,0.6,2.2,2.8,24.0,130.0,24.0,0.0,0.0,0.0,0.0,0.0,0.02,0.1,0.12,0.02,0.12,Matches
5,Jorge Miramón,es ESP,DF,32.0,29,22,1977.0,22.0,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,0.4,0.4,1.5,1.8,30.0,85.0,86.0,0.05,0.0,0.05,0.05,0.05,0.02,0.07,0.08,0.02,0.08,Matches
6,Son,es ESP,DF,27.0,26,22,1971.0,21.9,1.0,0.0,1.0,1.0,0.0,0.0,5.0,1.0,0.9,0.9,1.3,2.2,37.0,96.0,111.0,0.05,0.0,0.05,0.05,0.05,0.04,0.06,0.1,0.04,0.1,Matches
7,Rober,es ESP,DF,26.0,27,21,2010.0,22.3,1.0,0.0,1.0,1.0,0.0,0.0,5.0,1.0,1.3,1.3,0.2,1.4,17.0,53.0,5.0,0.04,0.0,0.04,0.04,0.04,0.06,0.01,0.06,0.06,0.06,Matches
8,Óscar Duarte,cr CRC,DF,32.0,23,20,1773.0,19.7,2.0,0.0,2.0,2.0,0.0,0.0,5.0,0.0,1.2,1.2,0.4,1.6,1.0,44.0,1.0,0.1,0.0,0.1,0.1,0.1,0.06,0.02,0.08,0.06,0.08,Matches
9,Jorge de Frutos,es ESP,"MF,FW",24.0,25,20,1760.0,19.6,4.0,7.0,11.0,4.0,0.0,0.0,4.0,0.0,4.9,4.9,3.3,8.2,60.0,49.0,153.0,0.2,0.36,0.56,0.2,0.56,0.25,0.17,0.42,0.25,0.42,Matches
10,Gonzalo Melero,es ESP,MF,27.0,29,20,1692.0,18.8,7.0,2.0,9.0,5.0,2.0,2.0,5.0,0.0,4.2,2.6,1.0,3.7,19.0,84.0,39.0,0.37,0.11,0.48,0.27,0.37,0.22,0.05,0.28,0.14,0.19,Matches
11,Carlos Clerc,es ESP,DF,29.0,19,18,1514.0,16.8,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.1,0.1,0.8,1.0,45.0,66.0,56.0,0.0,0.0,0.0,0.0,0.0,0.01,0.05,0.06,0.01,0.06,Matches
12,Enis Bardhi,mk MKD,"MF,FW",26.0,30,17,1701.0,18.9,3.0,3.0,6.0,1.0,2.0,2.0,3.0,0.0,3.9,2.2,3.0,5.3,41.0,103.0,105.0,0.16,0.16,0.32,0.05,0.21,0.2,0.16,0.37,0.12,0.28,Matches
13,Nemanja Radoja,rs SRB,MF,28.0,19,17,1214.0,13.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.3,0.3,0.8,1.1,9.0,25.0,23.0,0.0,0.0,0.0,0.0,0.0,0.03,0.06,0.08,0.03,0.08,Matches
