,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 33_level_0_Matches
0,Predrag Rajković,rs SRB,GK,26.0,36,36,3240.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.5,0.5,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches
1,Pablo Maffeo,es ESP,DF,25.0,35,34,2975.0,33.1,2.0,4.0,6.0,2.0,0.0,0.0,6.0,1.0,1.8,1.8,3.0,4.8,67.0,61.0,134.0,0.06,0.12,0.18,0.06,0.18,0.05,0.09,0.14,0.05,0.14,Matches
2,Vedat Muriqi,xk KVX,FW,28.0,35,34,2937.0,32.6,15.0,3.0,18.0,11.0,4.0,5.0,6.0,1.0,12.5,8.6,2.1,10.6,28.0,60.0,152.0,0.46,0.09,0.55,0.34,0.43,0.38,0.06,0.45,0.26,0.33,Matches
3,Lee Kang-in,kr KOR,"MF,FW",21.0,36,33,2823.0,31.4,6.0,6.0,12.0,6.0,0.0,0.0,10.0,0.0,5.4,5.4,5.4,10.8,107.0,96.0,139.0,0.19,0.19,0.38,0.19,0.38,0.17,0.17,0.34,0.17,0.34,Matches
4,Antonio Raillo,es ESP,DF,30.0,31,31,2766.0,30.7,2.0,3.0,5.0,2.0,0.0,0.0,11.0,1.0,0.6,0.6,1.1,1.7,8.0,50.0,5.0,0.07,0.1,0.16,0.07,0.16,0.02,0.03,0.05,0.02,0.05,Matches
5,Martin Valjent,sk SVK,DF,26.0,30,30,2656.0,29.5,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.3,0.3,0.4,0.7,15.0,57.0,3.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02,Matches
6,Jaume Costa,es ESP,DF,34.0,32,30,2599.0,28.9,0.0,1.0,1.0,0.0,0.0,0.0,10.0,0.0,1.0,1.0,2.5,3.5,60.0,74.0,123.0,0.0,0.03,0.03,0.0,0.03,0.04,0.09,0.12,0.04,0.12,Matches
7,Iñigo Ruiz de Galarreta,es ESP,MF,28.0,30,28,2449.0,27.2,0.0,1.0,1.0,0.0,0.0,0.0,12.0,0.0,0.3,0.3,1.4,1.7,20.0,127.0,21.0,0.0,0.04,0.04,0.0,0.04,0.01,0.05,0.06,0.01,0.06,Matches
8,Copete,es ESP,DF,22.0,28,27,2206.0,24.5,1.0,0.0,1.0,1.0,0.0,0.0,7.0,1.0,1.0,0.5,0.2,0.7,14.0,58.0,3.0,0.04,0.0,0.04,0.04,0.04,0.04,0.01,0.05,0.02,0.03,Matches
9,Dani Rodríguez,es ESP,MF,34.0,35,26,2100.0,23.3,3.0,6.0,9.0,3.0,0.0,0.0,8.0,0.0,2.4,2.4,3.2,5.6,43.0,76.0,64.0,0.13,0.26,0.39,0.13,0.39,0.1,0.14,0.24,0.1,0.24,Matches
10,Iddrisu Baba,gh GHA,"MF,DF",26.0,29,20,1705.0,18.9,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.6,0.6,0.2,0.8,3.0,47.0,8.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04,Matches
11,Amath,sn SEN,"MF,FW",26.0,28,12,1227.0,13.6,2.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,2.7,2.7,0.8,3.5,33.0,16.0,69.0,0.15,0.0,0.15,0.15,0.15,0.2,0.06,0.25,0.2,0.25,Matches
12,Antonio Sánchez,es ESP,"MF,DF",25.0,32,11,1076.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.6,0.6,0.8,1.4,22.0,34.0,56.0,0.0,0.0,0.0,0.0,0.0,0.05,0.07,0.12,0.05,0.12,Matches
13,Matija Nastasić,rs SRB,DF,29.0,14,10,906.0,10.1,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.5,0.5,0.0,0.5,4.0,25.0,1.0,0.1,0.0,0.1,0.1,0.1,0.05,0.0,0.05,0.05,0.05,Matches
14,Giovanni González,uy URU,DF,27.0,15,9,926.0,10.3,0.0,2.0,2.0,0.0,0.0,0.0,5.0,0.0,0.2,0.2,1.2,1.4,10.0,28.0,39.0,0.0,0.19,0.19,0.0,0.19,0.02,0.12,0.14,0.02,0.14,Matches
15,Manu Morlanes,es ESP,MF,23.0,12,9,706.0,7.8,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.3,0.3,0.7,1.0,10.0,26.0,6.0,0.13,0.0,0.13,0.13,0.13,0.03,0.09,0.12,0.03,0.12,Matches
16,Rodrigo Battaglia,ar ARG,MF,31.0,15,8,686.0,7.6,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.2,0.2,0.0,0.2,3.0,19.0,3.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,Matches
17,Dennis Hadzikadunic,ba BIH,DF,24.0,8,7,614.0,6.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.0,0.3,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.05,Matches
18,Clément Grenier,fr FRA,MF,31.0,21,6,718.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.2,0.2,1.1,1.3,4.0,40.0,26.0,0.0,0.0,0.0,0.0,0.0,0.03,0.14,0.17,0.03,0.17,Matches
19,Tino Kadewere,zw ZIM,"FW,MF",26.0,15,5,542.0,6.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.6,1.6,0.6,2.2,14.0,4.0,29.0,0.17,0.0,0.17,0.17,0.17,0.26,0.1,0.37,0.26,0.37,Matches
20,Abdón Prats,es ESP,"FW,MF",29.0,26,2,416.0,4.6,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.7,0.7,1.4,2.1,1.0,8.0,15.0,0.22,0.22,0.43,0.22,0.43,0.15,0.31,0.45,0.15,0.45,Matches
21,Ángel Rodríguez,es ESP,"FW,MF",35.0,17,2,394.0,4.4,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.8,2.8,0.1,2.8,4.0,6.0,19.0,0.23,0.0,0.23,0.23,0.23,0.63,0.02,0.64,0.63,0.64,Matches
22,Braian Cufré,ar ARG,DF,25.0,5,2,220.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,3.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.05,0.04,0.05,Matches
23,Franco Russo,ar ARG,DF,27.0,3,2,145.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
24,Ludwig Augustinsson,se SWE,DF,28.0,4,1,132.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,Matches
25,Josep Antoni Gayá,es ESP,"DF,MF",22.0,2,1,98.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
26,Dominik Greif,sk SVK,GK,25.0,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
27,Leo Román,es ESP,GK,22.0,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
28,Lago Junior,ci CIV,"FW,MF",31.0,5,0,52.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,Matches
29,Javier Llabrés,es ESP,FW,19.0,1,0,17.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
30,Rubén Quintanilla,es ESP,DF,20.0,1,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
31,Marcos Fernández Cózar,es ESP,DF,19.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
32,Benjamín Garay,ar ARG,DF,22.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
33,Pere Joan,es ESP,GK,20.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
34,Miguel Llabrés,es ESP,MF,22.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
35,Miguelito,es ESP,DF,21.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
36,Cristóbal Montiel,es ESP,MF,22.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
37,Luis Montiel,es ESP,MF,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
38,Squad Total,,,27.7,38,418,3420.0,38.0,36.0,27.0,63.0,32.0,4.0,5.0,120.0,5.0,35.2,31.1,26.5,57.7,476.0,948.0,935.0,0.95,0.71,1.66,0.84,1.55,0.93,0.7,1.62,0.82,1.52,
39,Opponent Total,,,27.4,38,418,3420.0,38.0,43.0,31.0,74.0,37.0,6.0,7.0,94.0,4.0,46.4,41.0,31.8,72.8,795.0,1706.0,1695.0,1.13,0.82,1.95,0.97,1.79,1.22,0.84,2.06,1.08,1.92,
