,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 33_level_0_Matches
0,David García,es ESP,DF,28.0,32,31,2680.0,29.8,2.0,0.0,2.0,2.0,0.0,0.0,8.0,1.0,0.7,0.7,0.4,1.1,16.0,105.0,4.0,0.07,0.0,0.07,0.07,0.07,0.02,0.01,0.04,0.02,0.04,Matches
1,Lucas Torró,es ESP,MF,28.0,33,31,2477.0,27.5,1.0,0.0,1.0,1.0,0.0,0.0,10.0,0.0,1.4,1.4,0.3,1.6,12.0,98.0,17.0,0.04,0.0,0.04,0.04,0.04,0.05,0.01,0.06,0.05,0.06,Matches
2,Moi Gómez,es ESP,"MF,FW",28.0,33,28,2453.0,27.3,3.0,2.0,5.0,3.0,0.0,0.0,5.0,0.0,1.8,1.8,4.5,6.2,37.0,184.0,67.0,0.11,0.07,0.18,0.11,0.18,0.06,0.16,0.23,0.06,0.23,Matches
3,Jon Moncayola,es ESP,"MF,DF",24.0,37,25,2448.0,27.2,1.0,3.0,4.0,1.0,0.0,0.0,6.0,0.0,2.0,2.0,1.8,3.8,34.0,175.0,50.0,0.04,0.11,0.15,0.04,0.15,0.07,0.07,0.14,0.07,0.14,Matches
4,Aimar Oroz,es ESP,"MF,FW",20.0,31,23,2013.0,22.4,3.0,6.0,9.0,2.0,1.0,1.0,6.0,0.0,3.6,2.8,2.8,5.5,35.0,86.0,144.0,0.13,0.27,0.4,0.09,0.36,0.16,0.12,0.28,0.12,0.25,Matches
5,Ezequiel Ávila,ar ARG,"FW,MF",28.0,29,23,1709.0,19.0,8.0,2.0,10.0,6.0,2.0,3.0,7.0,1.0,7.0,4.7,1.8,6.5,23.0,39.0,96.0,0.42,0.11,0.53,0.32,0.42,0.37,0.1,0.47,0.25,0.34,Matches
6,Manu Sánchez,es ESP,DF,21.0,31,22,2124.0,23.6,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.8,0.8,2.1,2.8,42.0,100.0,105.0,0.0,0.08,0.08,0.0,0.08,0.03,0.09,0.12,0.03,0.12,Matches
7,Ante Budimir,hr CRO,FW,31.0,31,22,1798.0,20.0,8.0,0.0,8.0,8.0,0.0,0.0,5.0,0.0,7.6,7.6,0.7,8.3,23.0,23.0,98.0,0.4,0.0,0.4,0.4,0.4,0.38,0.03,0.41,0.38,0.41,Matches
8,Juan Cruz Armada,es ESP,DF,30.0,27,21,2062.0,22.9,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.2,0.2,1.0,1.2,15.0,68.0,55.0,0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.05,0.01,0.05,Matches
9,Aitor Fernández,es ESP,GK,31.0,21,21,1890.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
