,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 33_level_0_Matches
0,Sergio Herrera,es ESP,GK,30.0,32,32,2869.0,31.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
1,Jesús Areso,es ESP,DF,24.0,37,29,2660.0,29.6,1.0,6.0,7.0,1.0,0.0,0.0,3.0,0.0,0.2,0.2,3.6,3.8,78.0,106.0,180.0,0.03,0.2,0.24,0.03,0.24,0.01,0.12,0.13,0.01,0.13,Matches
2,Ante Budimir,hr CRO,FW,32.0,33,29,2435.0,27.1,17.0,2.0,19.0,14.0,3.0,4.0,4.0,0.0,14.2,11.1,1.8,12.9,21.0,42.0,99.0,0.63,0.07,0.7,0.52,0.59,0.53,0.07,0.59,0.41,0.48,Matches
3,Catena,es ESP,DF,28.0,30,28,2534.0,28.2,1.0,3.0,4.0,1.0,0.0,0.0,8.0,1.0,1.3,1.3,1.0,2.4,5.0,77.0,1.0,0.04,0.11,0.14,0.04,0.14,0.05,0.04,0.08,0.05,0.08,Matches
4,David García,es ESP,DF,29.0,27,27,2334.0,25.9,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,1.0,1.0,1.3,2.2,21.0,133.0,4.0,0.0,0.04,0.04,0.0,0.04,0.04,0.05,0.09,0.04,0.09,Matches
5,Aimar Oroz,es ESP,MF,21.0,33,26,2339.0,26.0,2.0,1.0,3.0,1.0,1.0,1.0,3.0,0.0,3.5,2.8,1.6,4.4,52.0,103.0,126.0,0.08,0.04,0.12,0.04,0.08,0.14,0.06,0.2,0.11,0.17,Matches
6,Rubén Peña,es ESP,"DF,FW",32.0,29,26,2088.0,23.2,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.9,0.9,2.6,3.5,62.0,78.0,147.0,0.0,0.09,0.09,0.0,0.09,0.04,0.11,0.15,0.04,0.15,Matches
7,Moi Gómez,es ESP,"MF,FW",29.0,28,23,2006.0,22.3,3.0,0.0,3.0,3.0,0.0,0.0,3.0,0.0,1.7,1.7,0.9,2.6,36.0,127.0,69.0,0.13,0.0,0.13,0.13,0.13,0.08,0.04,0.12,0.08,0.12,Matches
8,Johan Mojica,co COL,DF,30.0,30,22,2041.0,22.7,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.6,3.6,57.0,82.0,117.0,0.0,0.13,0.13,0.0,0.13,0.04,0.11,0.16,0.04,0.16,Matches
9,Jon Moncayola,es ESP,MF,25.0,33,21,1800.0,20.0,1.0,3.0,4.0,1.0,0.0,0.0,2.0,1.0,0.6,0.6,2.3,2.9,14.0,99.0,46.0,0.05,0.15,0.2,0.05,0.2,0.03,0.11,0.14,0.03,0.14,Matches
10,Lucas Torró,es ESP,MF,29.0,28,21,1788.0,19.9,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,1.5,1.5,0.6,2.0,3.0,60.0,15.0,0.05,0.0,0.05,0.05,0.05,0.07,0.03,0.1,0.07,0.1,Matches
11,Iker Muñoz,es ESP,MF,20.0,28,20,1854.0,20.6,4.0,0.0,4.0,4.0,0.0,0.0,5.0,0.0,1.1,1.1,0.2,1.2,17.0,80.0,23.0,0.19,0.0,0.19,0.19,0.19,0.05,0.01,0.06,0.05,0.06,Matches
12,Rubén García,es ESP,"FW,MF",30.0,30,19,1547.0,17.2,3.0,2.0,5.0,3.0,0.0,0.0,1.0,0.0,2.3,2.3,3.3,5.6,16.0,59.0,117.0,0.17,0.12,0.29,0.17,0.29,0.13,0.19,0.33,0.13,0.33,Matches
13,Juan Cruz Armada,es ESP,DF,31.0,26,18,1667.0,18.5,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.4,0.4,16.0,77.0,29.0,0.0,0.05,0.05,0.0,0.05,0.0,0.02,0.02,0.0,0.02,Matches
14,Jorge Herrando,es ESP,DF,22.0,19,18,1644.0,18.3,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.4,0.4,0.2,0.6,3.0,35.0,1.0,0.0,0.05,0.05,0.0,0.05,0.02,0.01,0.03,0.02,0.03,Matches
15,Raúl,es ESP,FW,22.0,35,13,1355.0,15.1,6.0,1.0,7.0,6.0,0.0,0.0,4.0,0.0,4.9,4.9,0.6,5.5,16.0,22.0,68.0,0.4,0.07,0.46,0.4,0.46,0.32,0.04,0.37,0.32,0.37,Matches
16,Pablo Ibáñez,es ESP,MF,24.0,33,12,1152.0,12.8,1.0,2.0,3.0,1.0,0.0,0.0,5.0,0.0,2.3,2.3,1.2,3.5,26.0,67.0,54.0,0.08,0.16,0.23,0.08,0.23,0.18,0.09,0.27,0.18,0.27,Matches
17,Ezequiel Ávila,ar ARG,"FW,MF",29.0,17,10,864.0,9.6,1.0,3.0,4.0,1.0,0.0,0.0,3.0,2.0,2.0,2.0,2.3,4.3,14.0,39.0,75.0,0.1,0.31,0.42,0.1,0.42,0.21,0.24,0.45,0.21,0.45,Matches
18,José Arnaiz,es ESP,"FW,MF",28.0,26,9,929.0,10.3,2.0,1.0,3.0,2.0,0.0,0.0,3.0,0.0,1.7,1.7,1.8,3.5,23.0,11.0,85.0,0.19,0.1,0.29,0.19,0.29,0.17,0.17,0.34,0.17,0.34,Matches
19,Unai García,es ESP,DF,31.0,9,6,560.0,6.2,1.0,0.0,1.0,1.0,0.0,0.0,6.0,1.0,0.1,0.1,0.0,0.1,2.0,12.0,1.0,0.16,0.0,0.16,0.16,0.16,0.02,0.0,0.02,0.02,0.02,Matches
20,Aitor Fernández,es ESP,GK,32.0,7,6,551.0,6.1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
21,Kike Barja,es ESP,"FW,MF",26.0,16,3,303.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.2,0.2,0.5,0.7,17.0,8.0,41.0,0.0,0.0,0.0,0.0,0.0,0.07,0.14,0.2,0.07,0.2,Matches
