,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 33_level_0_Matches
0,Nabil Fekir,fr FRA,MF,28.0,34,33,2794.0,31.0,6.0,8.0,14.0,6.0,0.0,0.0,7.0,1.0,4.7,4.7,7.0,11.6,117.0,171.0,231.0,0.19,0.26,0.45,0.19,0.45,0.15,0.22,0.37,0.15,0.37,Matches
1,Sergio Canales,es ESP,"FW,MF",30.0,34,33,2791.0,31.0,5.0,8.0,13.0,5.0,0.0,0.0,6.0,0.0,4.1,4.1,5.6,9.8,99.0,238.0,166.0,0.16,0.26,0.42,0.16,0.42,0.13,0.18,0.31,0.13,0.31,Matches
2,Guido Rodríguez,ar ARG,MF,27.0,32,29,2529.0,28.1,1.0,2.0,3.0,1.0,0.0,0.0,9.0,1.0,1.0,1.0,0.5,1.6,13.0,123.0,14.0,0.04,0.07,0.11,0.04,0.11,0.04,0.02,0.06,0.04,0.06,Matches
3,Álex Moreno,es ESP,DF,28.0,30,28,2404.0,26.7,5.0,3.0,8.0,5.0,0.0,0.0,3.0,1.0,3.8,3.8,1.9,5.7,93.0,97.0,175.0,0.19,0.11,0.3,0.19,0.3,0.14,0.07,0.21,0.14,0.21,Matches
4,Juanmi,es ESP,FW,28.0,33,26,2131.0,23.7,16.0,4.0,20.0,16.0,0.0,0.0,5.0,0.0,11.1,11.1,2.9,14.0,26.0,38.0,107.0,0.68,0.17,0.84,0.68,0.84,0.47,0.12,0.59,0.47,0.59,Matches
5,Marc Bartra,es ESP,DF,30.0,23,23,1993.0,22.1,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,1.6,1.6,0.1,1.7,14.0,59.0,5.0,0.05,0.0,0.05,0.05,0.05,0.07,0.0,0.08,0.07,0.08,Matches
6,Germán Pezzella,ar ARG,DF,30.0,23,22,1988.0,22.1,1.0,0.0,1.0,1.0,0.0,0.0,5.0,1.0,1.3,1.3,0.0,1.3,2.0,22.0,5.0,0.05,0.0,0.05,0.05,0.05,0.06,0.0,0.06,0.06,0.06,Matches
7,Héctor Bellerín,es ESP,DF,26.0,23,22,1979.0,22.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,1.0,0.5,0.5,2.1,2.7,43.0,75.0,103.0,0.0,0.09,0.09,0.0,0.09,0.02,0.1,0.12,0.02,0.12,Matches
8,Rui Silva,pt POR,GK,27.0,22,21,1964.0,21.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
9,William Carvalho,pt POR,MF,29.0,33,20,1805.0,20.1,2.0,3.0,5.0,2.0,0.0,0.0,6.0,0.0,3.1,3.1,1.5,4.6,39.0,163.0,39.0,0.1,0.15,0.25,0.1,0.25,0.16,0.07,0.23,0.16,0.23,Matches
10,Willian José,br BRA,FW,29.0,32,19,1604.0,17.8,8.0,4.0,12.0,5.0,3.0,3.0,2.0,0.0,6.1,3.7,3.0,6.7,18.0,38.0,100.0,0.45,0.22,0.67,0.28,0.5,0.34,0.17,0.51,0.21,0.37,Matches
11,Borja Iglesias,es ESP,FW,28.0,33,18,1573.0,17.5,10.0,0.0,10.0,7.0,3.0,3.0,4.0,0.0,7.7,5.3,2.7,8.0,18.0,29.0,102.0,0.57,0.0,0.57,0.4,0.4,0.44,0.15,0.59,0.31,0.46,Matches
12,Claudio Bravo,cl CHI,GK,38.0,17,17,1456.0,16.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches
13,Víctor Ruiz,es ESP,DF,32.0,18,17,1424.0,15.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.9,0.9,0.1,1.0,5.0,54.0,2.0,0.0,0.0,0.0,0.0,0.0,0.05,0.01,0.06,0.05,0.06,Matches
14,Andrés Guardado,mx MEX,MF,34.0,28,17,1393.0,15.5,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.9,0.9,0.4,1.2,13.0,95.0,17.0,0.0,0.06,0.06,0.0,0.06,0.06,0.02,0.08,0.06,0.08,Matches
15,Édgar González,es ESP,DF,24.0,21,14,1464.0,16.3,1.0,1.0,2.0,1.0,0.0,0.0,6.0,0.0,1.1,1.1,0.8,1.9,5.0,39.0,2.0,0.06,0.06,0.12,0.06,0.12,0.07,0.05,0.11,0.07,0.11,Matches
