,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 33_level_0_Matches
0,Catena,es ESP,DF,26.0,36,36,3240.0,36.0,2.0,2.0,4.0,2.0,0.0,0.0,8.0,0.0,1.4,1.4,0.8,2.2,13.0,84.0,6.0,0.06,0.06,0.11,0.06,0.11,0.04,0.02,0.06,0.04,0.06,Matches
1,Iván Balliu,al ALB,DF,29.0,35,35,3147.0,35.0,1.0,2.0,3.0,1.0,0.0,0.0,10.0,1.0,0.9,0.9,3.5,4.4,84.0,134.0,132.0,0.03,0.06,0.09,0.03,0.09,0.02,0.1,0.13,0.02,0.13,Matches
2,Fran Garcia,es ESP,DF,21.0,34,34,3025.0,33.6,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.9,0.9,1.7,2.6,140.0,133.0,141.0,0.03,0.0,0.03,0.03,0.03,0.03,0.05,0.08,0.03,0.08,Matches
3,Álvaro García,es ESP,"FW,MF",28.0,36,34,2998.0,33.3,7.0,4.0,11.0,7.0,0.0,0.0,6.0,0.0,5.3,5.3,4.7,9.9,124.0,86.0,293.0,0.21,0.12,0.33,0.21,0.33,0.16,0.14,0.3,0.16,0.3,Matches
4,Santi Comesaña,es ESP,MF,24.0,35,32,2682.0,29.8,1.0,2.0,3.0,1.0,0.0,0.0,12.0,1.0,3.7,3.7,2.0,5.7,46.0,165.0,50.0,0.03,0.07,0.1,0.03,0.1,0.12,0.07,0.19,0.12,0.19,Matches
5,Stole Dimitrievski,mk MKD,GK,27.0,31,30,2772.0,30.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
6,Óscar Valentín,es ESP,MF,26.0,35,29,2569.0,28.5,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.2,1.2,1.0,2.3,27.0,140.0,10.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.08,0.04,0.08,Matches
7,Isaac Palazón Camacho,es ESP,"FW,MF",26.0,34,27,2288.0,25.4,2.0,4.0,6.0,2.0,0.0,0.0,7.0,0.0,3.1,3.1,3.1,6.2,41.0,94.0,148.0,0.08,0.16,0.24,0.08,0.24,0.12,0.12,0.24,0.12,0.24,Matches
8,Óscar Trejo,ar ARG,MF,33.0,32,24,2007.0,22.3,3.0,9.0,12.0,0.0,3.0,3.0,13.0,0.0,3.3,0.9,5.0,5.9,53.0,135.0,96.0,0.13,0.4,0.54,0.0,0.4,0.15,0.22,0.37,0.04,0.26,Matches
9,Esteban Saveljich,me MNE,DF,30.0,21,21,1700.0,18.9,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.6,0.6,0.0,0.6,2.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,Matches
