,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 33_level_0_Matches
0,Jordi Masip,es ESP,GK,33.0,28,28,2507.0,27.9,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
1,Javi Sánchez,es ESP,DF,25.0,32,28,2392.0,26.6,1.0,0.0,1.0,1.0,0.0,0.0,11.0,0.0,0.7,0.7,0.1,0.8,21.0,74.0,5.0,0.04,0.0,0.04,0.04,0.04,0.03,0.0,0.03,0.03,0.03,Matches
2,Kike Pérez,es ESP,MF,25.0,36,28,2307.0,25.6,1.0,2.0,3.0,1.0,0.0,0.0,9.0,0.0,2.3,2.3,2.2,4.5,54.0,134.0,82.0,0.04,0.08,0.12,0.04,0.12,0.09,0.09,0.17,0.09,0.17,Matches
3,Gonzalo Plata,ec ECU,FW,21.0,34,26,2302.0,25.6,1.0,5.0,6.0,1.0,0.0,0.0,1.0,0.0,3.7,3.7,3.1,6.8,97.0,54.0,213.0,0.04,0.2,0.23,0.04,0.23,0.15,0.12,0.27,0.15,0.27,Matches
4,Joaquín Fernández,es ESP,DF,26.0,27,24,2156.0,24.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.5,0.5,0.1,0.6,6.0,42.0,3.0,0.04,0.0,0.04,0.04,0.04,0.02,0.0,0.03,0.02,0.03,Matches
5,Monchu,es ESP,MF,22.0,33,23,2031.0,22.6,3.0,2.0,5.0,3.0,0.0,0.0,10.0,0.0,2.4,2.4,2.0,4.4,17.0,111.0,25.0,0.13,0.09,0.22,0.13,0.22,0.11,0.09,0.2,0.11,0.2,Matches
6,Óscar Plano,es ESP,"FW,MF",31.0,33,22,2038.0,22.6,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,2.8,2.8,1.6,4.4,30.0,73.0,95.0,0.04,0.04,0.09,0.04,0.09,0.12,0.07,0.19,0.12,0.19,Matches
7,Roque Mesa,es ESP,MF,33.0,29,20,1617.0,18.0,2.0,1.0,3.0,2.0,0.0,0.0,11.0,1.0,1.4,1.4,1.0,2.4,29.0,116.0,24.0,0.11,0.06,0.17,0.11,0.17,0.08,0.06,0.13,0.08,0.13,Matches
8,Jawad El Yamiq,ma MAR,DF,30.0,25,19,1608.0,17.9,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.1,1.1,0.4,1.6,21.0,55.0,3.0,0.06,0.0,0.06,0.06,0.06,0.06,0.02,0.08,0.06,0.08,Matches
9,Álvaro Aguado,es ESP,MF,26.0,34,18,1888.0,21.0,1.0,2.0,3.0,1.0,0.0,0.0,4.0,0.0,1.0,1.0,2.2,3.2,29.0,139.0,50.0,0.05,0.1,0.14,0.05,0.14,0.05,0.11,0.15,0.05,0.15,Matches
10,Iván Fresneda,es ESP,DF,17.0,22,18,1743.0,19.4,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.6,0.6,1.5,2.1,48.0,62.0,101.0,0.0,0.0,0.0,0.0,0.0,0.03,0.08,0.11,0.03,0.11,Matches
11,Sergio Escudero,es ESP,DF,32.0,23,17,1439.0,16.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,1.5,1.5,1.8,3.3,17.0,40.0,37.0,0.06,0.0,0.06,0.06,0.06,0.09,0.11,0.2,0.09,0.2,Matches
