,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 33_level_0_Matches
0,Sergio Asenjo,es ESP,GK,31.0,36,36,3240.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
1,Daniel Parejo,es ESP,MF,31.0,36,36,3112.0,34.6,3.0,5.0,8.0,3.0,0.0,0.0,4.0,0.0,1.2,1.2,5.2,6.4,53.0,320.0,41.0,0.09,0.14,0.23,0.09,0.23,0.04,0.15,0.19,0.04,0.19,Matches
2,Raúl Albiol,es ESP,DF,34.0,35,35,3115.0,34.6,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.9,0.9,1.0,1.9,19.0,136.0,2.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.06,0.03,0.06,Matches
3,Pau Torres,es ESP,DF,23.0,33,33,2970.0,33.0,2.0,2.0,4.0,2.0,0.0,0.0,2.0,0.0,1.5,1.5,0.8,2.3,47.0,133.0,11.0,0.06,0.06,0.12,0.06,0.12,0.05,0.02,0.07,0.05,0.07,Matches
4,Gerard Moreno,es ESP,FW,28.0,33,30,2673.0,29.7,23.0,7.0,30.0,13.0,10.0,10.0,3.0,0.0,18.9,11.1,7.4,18.5,49.0,132.0,233.0,0.77,0.24,1.01,0.44,0.67,0.63,0.25,0.88,0.37,0.62,Matches
5,Manu Trigueros,es ESP,MF,28.0,35,30,2527.0,28.1,1.0,6.0,7.0,1.0,0.0,0.0,6.0,1.0,2.5,2.5,5.0,7.6,33.0,212.0,68.0,0.04,0.21,0.25,0.04,0.25,0.09,0.18,0.27,0.09,0.27,Matches
6,Moi Gómez,es ESP,"MF,FW",26.0,35,29,2563.0,28.5,4.0,0.0,4.0,3.0,1.0,1.0,1.0,0.0,3.8,3.0,2.6,5.6,71.0,116.0,143.0,0.14,0.0,0.14,0.11,0.11,0.13,0.09,0.23,0.11,0.2,Matches
7,Alfonso Pedraza,es ESP,DF,24.0,29,24,2093.0,23.3,1.0,2.0,3.0,1.0,0.0,0.0,8.0,0.0,1.7,1.7,4.0,5.7,88.0,47.0,237.0,0.04,0.09,0.13,0.04,0.13,0.07,0.17,0.24,0.07,0.24,Matches
8,Mario Gaspar,es ESP,DF,29.0,24,21,1851.0,20.6,0.0,2.0,2.0,0.0,0.0,0.0,3.0,1.0,0.9,0.9,2.1,3.0,36.0,92.0,84.0,0.0,0.1,0.1,0.0,0.1,0.05,0.1,0.15,0.05,0.15,Matches
9,Paco Alcácer,es ESP,FW,26.0,27,19,1544.0,17.2,6.0,4.0,10.0,5.0,1.0,2.0,0.0,0.0,9.0,7.5,2.8,10.2,12.0,13.0,77.0,0.35,0.23,0.58,0.29,0.52,0.53,0.16,0.69,0.43,0.6,Matches
