,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 33_level_0_Matches
0,Unai Simón,es ESP,GK,24.0,34,34,3060.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
1,Iker Muniain,es ESP,MF,28.0,35,34,2785.0,30.9,4.0,10.0,14.0,3.0,1.0,3.0,3.0,0.0,5.8,3.4,9.5,12.8,81.0,218.0,161.0,0.13,0.32,0.45,0.1,0.42,0.19,0.31,0.49,0.11,0.41,Matches
2,Iñaki Williams,gh GHA,FW,27.0,38,32,2777.0,30.9,8.0,5.0,13.0,7.0,1.0,1.0,4.0,0.0,14.1,13.3,5.7,19.0,76.0,45.0,316.0,0.26,0.16,0.42,0.23,0.39,0.46,0.18,0.64,0.43,0.61,Matches
3,Unai Vencedor Paris,es ESP,MF,20.0,34,29,2383.0,26.5,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.9,0.9,0.7,1.6,16.0,180.0,20.0,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.06,0.03,0.06,Matches
4,Dani García,es ESP,MF,31.0,32,27,2177.0,24.2,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.6,0.6,0.6,1.1,10.0,115.0,7.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.05,0.02,0.05,Matches
5,Iñigo Martínez,es ESP,DF,30.0,27,26,2341.0,26.0,3.0,0.0,3.0,3.0,0.0,0.0,9.0,2.0,2.0,2.0,0.5,2.5,29.0,78.0,8.0,0.12,0.0,0.12,0.12,0.12,0.08,0.02,0.09,0.08,0.09,Matches
6,Álex Berenguer,es ESP,MF,26.0,34,24,2168.0,24.1,3.0,6.0,9.0,3.0,0.0,1.0,8.0,0.0,5.2,4.5,5.4,9.9,59.0,77.0,202.0,0.12,0.25,0.37,0.12,0.37,0.22,0.23,0.44,0.19,0.41,Matches
7,Raúl García,es ESP,FW,35.0,35,24,1802.0,20.0,6.0,2.0,8.0,6.0,0.0,1.0,3.0,0.0,6.1,5.3,2.7,8.0,12.0,87.0,113.0,0.3,0.1,0.4,0.3,0.4,0.3,0.13,0.44,0.26,0.4,Matches
8,Mikel Balenziaga,es ESP,DF,33.0,26,23,2027.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.4,0.5,29.0,68.0,66.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.02,0.01,0.02,Matches
9,Daniel Vivian,es ESP,DF,22.0,24,22,1986.0,22.1,2.0,1.0,3.0,2.0,0.0,0.0,2.0,0.0,1.3,1.3,0.5,1.8,3.0,56.0,2.0,0.09,0.05,0.14,0.09,0.14,0.06,0.02,0.08,0.06,0.08,Matches
