,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 33_level_0_Matches
0,Jan Oblak,si SVN,GK,28.0,38,38,3420.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
1,Koke,es ESP,MF,29.0,31,29,2508.0,27.9,1.0,2.0,3.0,1.0,0.0,0.0,6.0,0.0,1.0,1.0,1.5,2.4,28.0,197.0,53.0,0.04,0.07,0.11,0.04,0.11,0.03,0.05,0.09,0.03,0.09,Matches
2,Marcos Llorente,es ESP,"MF,DF",26.0,29,29,2447.0,27.2,0.0,2.0,2.0,0.0,0.0,0.0,5.0,0.0,0.7,0.7,2.6,3.3,63.0,81.0,181.0,0.0,0.07,0.07,0.0,0.07,0.02,0.1,0.12,0.02,0.12,Matches
3,Yannick Carrasco,be BEL,"FW,MF",27.0,34,28,2583.0,28.7,6.0,6.0,12.0,4.0,2.0,2.0,5.0,0.0,5.3,3.8,7.0,10.8,141.0,84.0,263.0,0.21,0.21,0.42,0.14,0.35,0.18,0.24,0.43,0.13,0.38,Matches
4,Stefan Savić,me MNE,DF,30.0,28,28,2440.0,27.1,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,1.9,1.9,0.1,2.0,30.0,74.0,6.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.08,0.07,0.08,Matches
5,Rodrigo De Paul,ar ARG,MF,27.0,36,24,2151.0,23.9,3.0,1.0,4.0,3.0,0.0,0.0,7.0,0.0,1.6,1.6,4.6,6.2,65.0,162.0,53.0,0.13,0.04,0.17,0.13,0.17,0.07,0.19,0.26,0.07,0.26,Matches
6,José María Giménez,uy URU,DF,26.0,24,24,2042.0,22.7,1.0,1.0,2.0,1.0,0.0,0.0,7.0,0.0,1.7,1.7,0.9,2.6,5.0,44.0,2.0,0.04,0.04,0.09,0.04,0.09,0.08,0.04,0.11,0.08,0.11,Matches
7,Geoffrey Kondogbia,cf CTA,"MF,DF",28.0,28,21,1882.0,20.9,1.0,2.0,3.0,1.0,0.0,0.0,13.0,2.0,0.4,0.4,0.9,1.3,11.0,76.0,7.0,0.05,0.1,0.14,0.05,0.14,0.02,0.04,0.06,0.02,0.06,Matches
8,Mario Hermoso,es ESP,DF,26.0,26,21,1865.0,20.7,2.0,1.0,3.0,2.0,0.0,0.0,6.0,1.0,2.2,2.2,0.8,2.9,38.0,123.0,21.0,0.1,0.05,0.14,0.1,0.14,0.1,0.04,0.14,0.1,0.14,Matches
9,Ángel Correa,ar ARG,"FW,MF",26.0,36,21,1856.0,20.6,12.0,5.0,17.0,12.0,0.0,0.0,3.0,1.0,7.3,7.3,3.7,11.0,38.0,65.0,149.0,0.58,0.24,0.82,0.58,0.82,0.35,0.18,0.53,0.35,0.53,Matches
10,Antoine Griezmann,fr FRA,"FW,MF",30.0,26,21,1695.0,18.8,3.0,4.0,7.0,3.0,0.0,0.0,3.0,0.0,5.1,5.1,3.1,8.2,39.0,53.0,126.0,0.16,0.21,0.37,0.16,0.37,0.27,0.17,0.44,0.27,0.44,Matches
11,Luis Suárez,uy URU,FW,34.0,35,20,1835.0,20.4,11.0,2.0,13.0,9.0,2.0,3.0,7.0,0.0,10.0,7.7,1.3,8.9,16.0,40.0,105.0,0.54,0.1,0.64,0.44,0.54,0.49,0.06,0.55,0.38,0.44,Matches
12,Thomas Lemar,fr FRA,MF,25.0,24,17,1440.0,16.0,4.0,5.0,9.0,4.0,0.0,0.0,2.0,0.0,3.4,3.4,3.3,6.8,54.0,95.0,92.0,0.25,0.31,0.56,0.25,0.56,0.21,0.21,0.42,0.21,0.42,Matches
13,Felipe,br BRA,DF,32.0,26,15,1504.0,16.7,2.0,1.0,3.0,2.0,0.0,0.0,5.0,1.0,0.7,0.7,0.4,1.1,5.0,32.0,2.0,0.12,0.06,0.18,0.12,0.18,0.04,0.02,0.07,0.04,0.07,Matches
14,Reinildo Mandava,mz MOZ,DF,27.0,17,15,1298.0,14.4,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.5,0.5,0.1,0.5,15.0,43.0,25.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04,Matches
15,João Félix,pt POR,"FW,MF",21.0,24,13,1263.0,14.0,8.0,4.0,12.0,8.0,0.0,0.0,3.0,1.0,5.7,5.7,4.7,10.4,42.0,49.0,82.0,0.57,0.29,0.86,0.57,0.86,0.41,0.33,0.74,0.41,0.74,Matches
16,Renan Lodi,br BRA,DF,23.0,29,13,1181.0,13.1,2.0,2.0,4.0,2.0,0.0,0.0,4.0,0.0,0.7,0.7,1.8,2.5,39.0,32.0,88.0,0.15,0.15,0.3,0.15,0.3,0.05,0.14,0.19,0.05,0.19,Matches
17,Kieran Trippier,eng ENG,"DF,FW",30.0,15,12,976.0,10.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.3,0.4,14.0,80.0,70.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.04,0.01,0.04,Matches
