,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 33_level_0_Matches
0,Sergio Busquets,es ESP,MF,33.0,36,36,3198.0,35.5,2.0,0.0,2.0,2.0,0.0,0.0,12.0,0.0,0.6,0.6,1.7,2.3,24.0,291.0,36.0,0.06,0.0,0.06,0.06,0.06,0.02,0.05,0.07,0.02,0.07,Matches
1,Marc-André ter Stegen,de GER,GK,29.0,35,35,3150.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.1,0.1,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
2,Jordi Alba,es ESP,DF,32.0,30,30,2644.0,29.4,2.0,10.0,12.0,2.0,0.0,0.0,11.0,0.0,1.5,1.5,7.1,8.7,47.0,291.0,213.0,0.07,0.34,0.41,0.07,0.41,0.05,0.24,0.29,0.05,0.29,Matches
3,Frenkie de Jong,nl NED,MF,24.0,32,30,2476.0,27.5,3.0,3.0,6.0,3.0,0.0,0.0,7.0,1.0,4.8,4.8,3.4,8.2,78.0,206.0,121.0,0.11,0.11,0.22,0.11,0.22,0.18,0.12,0.3,0.18,0.3,Matches
4,Gavi,es ESP,"MF,FW",16.0,34,28,2316.0,25.7,2.0,5.0,7.0,2.0,0.0,0.0,11.0,1.0,3.6,3.6,3.2,6.8,72.0,115.0,160.0,0.08,0.19,0.27,0.08,0.27,0.14,0.12,0.26,0.14,0.26,Matches
5,Ronald Araújo,uy URU,DF,22.0,30,25,2272.0,25.2,4.0,0.0,4.0,4.0,0.0,0.0,6.0,0.0,1.5,1.5,1.2,2.8,30.0,91.0,14.0,0.16,0.0,0.16,0.16,0.16,0.06,0.05,0.11,0.06,0.11,Matches
6,Gerard Piqué,es ESP,DF,34.0,27,25,2092.0,23.2,1.0,0.0,1.0,1.0,0.0,0.0,10.0,1.0,1.6,1.6,0.5,2.1,25.0,132.0,4.0,0.04,0.0,0.04,0.04,0.04,0.07,0.02,0.09,0.07,0.09,Matches
7,Eric García,es ESP,DF,20.0,26,23,2039.0,22.7,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.2,0.2,0.1,0.3,36.0,137.0,3.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Matches
8,Memphis,nl NED,FW,27.0,28,20,1851.0,20.6,12.0,2.0,14.0,8.0,4.0,5.0,3.0,0.0,11.2,7.3,4.4,11.7,83.0,72.0,239.0,0.58,0.1,0.68,0.39,0.49,0.54,0.21,0.76,0.35,0.57,Matches
9,Sergiño Dest,us USA,"DF,FW",20.0,21,17,1512.0,16.8,0.0,3.0,3.0,0.0,0.0,0.0,2.0,0.0,1.1,1.1,2.5,3.7,75.0,81.0,158.0,0.0,0.18,0.18,0.0,0.18,0.07,0.15,0.22,0.07,0.22,Matches
10,Ferrán Torres,es ESP,FW,21.0,18,17,1412.0,15.7,4.0,4.0,8.0,3.0,1.0,1.0,1.0,0.0,7.0,6.2,3.1,9.4,34.0,53.0,215.0,0.25,0.25,0.51,0.19,0.45,0.45,0.2,0.65,0.4,0.6,Matches
11,Ousmane Dembélé,fr FRA,FW,24.0,21,15,1409.0,15.7,1.0,13.0,14.0,1.0,0.0,0.0,3.0,0.0,2.6,2.6,8.3,10.9,128.0,70.0,201.0,0.06,0.83,0.89,0.06,0.89,0.17,0.53,0.7,0.17,0.7,Matches
12,Dani Alves,br BRA,DF,38.0,14,13,1098.0,12.2,1.0,3.0,4.0,1.0,0.0,0.0,2.0,1.0,0.3,0.3,2.3,2.5,33.0,72.0,25.0,0.08,0.25,0.33,0.08,0.33,0.02,0.19,0.21,0.02,0.21,Matches
13,Pierre-Emerick Aubameyang,ga GAB,FW,32.0,17,13,1082.0,12.0,11.0,1.0,12.0,11.0,0.0,0.0,0.0,0.0,7.8,7.8,1.1,8.9,16.0,16.0,79.0,0.91,0.08,1.0,0.91,1.0,0.65,0.09,0.74,0.65,0.74,Matches
14,Nicolás González,es ESP,MF,19.0,27,12,1114.0,12.4,2.0,1.0,3.0,2.0,0.0,0.0,6.0,0.0,1.4,1.4,0.8,2.2,37.0,65.0,45.0,0.16,0.08,0.24,0.16,0.24,0.11,0.07,0.18,0.11,0.18,Matches
15,Pedri,es ESP,MF,18.0,12,10,885.0,9.8,3.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,1.3,1.3,1.2,2.5,23.0,84.0,42.0,0.31,0.1,0.41,0.31,0.41,0.13,0.12,0.25,0.13,0.25,Matches
16,Óscar Mingueza,es ESP,DF,22.0,19,9,894.0,9.9,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,0.9,1.2,13.0,43.0,40.0,0.0,0.1,0.1,0.0,0.1,0.03,0.09,0.12,0.03,0.12,Matches
17,Clément Lenglet,fr FRA,DF,26.0,21,7,826.0,9.2,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.2,0.2,0.3,0.5,19.0,80.0,1.0,0.0,0.11,0.11,0.0,0.11,0.02,0.04,0.05,0.02,0.05,Matches
18,Luuk de Jong,nl NED,FW,30.0,21,6,654.0,7.3,6.0,0.0,6.0,6.0,0.0,0.0,1.0,0.0,4.6,4.6,0.2,4.8,4.0,9.0,48.0,0.83,0.0,0.83,0.83,0.83,0.63,0.03,0.67,0.63,0.67,Matches
19,Abde Ezzalzouli,ma MAR,FW,19.0,10,6,580.0,6.4,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,1.3,1.3,0.9,2.2,47.0,8.0,76.0,0.16,0.0,0.16,0.16,0.16,0.2,0.14,0.33,0.2,0.33,Matches
20,Philippe Coutinho,br BRA,"MF,FW",29.0,12,5,503.0,5.6,2.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,3.1,2.3,0.3,2.5,22.0,35.0,49.0,0.36,0.0,0.36,0.18,0.18,0.55,0.04,0.6,0.41,0.46,Matches
21,Sergi Roberto,es ESP,"MF,DF",29.0,9,4,400.0,4.4,2.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,1.5,1.5,0.4,1.9,6.0,15.0,15.0,0.45,0.23,0.68,0.45,0.68,0.33,0.1,0.43,0.33,0.43,Matches
22,Adama Traoré,es ESP,FW,25.0,11,4,382.0,4.2,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.9,1.6,34.0,10.0,55.0,0.0,0.47,0.47,0.0,0.47,0.16,0.21,0.37,0.16,0.37,Matches
23,Ferran Jutglà,es ESP,FW,22.0,6,4,301.0,3.3,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.6,1.6,0.2,1.8,10.0,4.0,38.0,0.3,0.0,0.3,0.3,0.3,0.48,0.07,0.55,0.48,0.55,Matches
24,Ansu Fati,es ESP,FW,18.0,10,3,336.0,3.7,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,1.3,1.3,0.4,1.8,20.0,9.0,49.0,1.07,0.0,1.07,1.07,1.07,0.36,0.12,0.47,0.36,0.47,Matches
25,Neto,br BRA,GK,32.0,3,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,Matches
26,Antoine Griezmann,fr FRA,FW,30.0,3,3,263.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,5.0,11.0,15.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.09,0.09,0.09,Matches
27,Martin Braithwaite,dk DEN,FW,30.0,4,3,235.0,2.6,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.9,0.9,1.2,2.1,5.0,4.0,24.0,0.77,0.38,1.15,0.77,1.15,0.33,0.46,0.79,0.33,0.79,Matches
28,Riqui Puig,es ESP,MF,21.0,15,2,487.0,5.4,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.7,0.7,0.2,0.9,9.0,40.0,24.0,0.18,0.0,0.18,0.18,0.18,0.12,0.04,0.16,0.12,0.16,Matches
29,Yusuf Demir,at AUT,FW,18.0,6,2,192.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,3.0,3.0,17.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches
