,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 33_level_0_Matches
0,Gonzalo Verdú,es ESP,DF,31.0,33,33,2944.0,32.7,0.0,2.0,2.0,0.0,0.0,0.0,11.0,0.0,1.6,1.6,2.0,3.6,10.0,63.0,1.0,0.0,0.06,0.06,0.0,0.06,0.05,0.06,0.11,0.05,0.11,Matches
1,Raúl Guti,es ESP,MF,23.0,36,33,2862.0,31.8,3.0,1.0,4.0,3.0,0.0,0.0,4.0,1.0,1.8,1.8,0.6,2.4,25.0,95.0,22.0,0.09,0.03,0.13,0.09,0.13,0.06,0.02,0.07,0.06,0.07,Matches
2,Lucas Boyé,ar ARG,FW,24.0,34,32,2694.0,29.9,7.0,2.0,9.0,7.0,0.0,0.0,9.0,1.0,5.2,5.2,1.1,6.3,43.0,54.0,117.0,0.23,0.07,0.3,0.23,0.3,0.17,0.04,0.21,0.17,0.21,Matches
3,Édgar Badía,es ESP,GK,28.0,30,30,2700.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
4,Iván Marcone,ar ARG,MF,30.0,33,30,2645.0,29.4,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.1,0.1,0.6,0.7,15.0,103.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,Matches
5,Fidel,es ESP,"MF,DF",30.0,30,28,2396.0,26.6,6.0,3.0,9.0,4.0,2.0,3.0,8.0,0.0,4.3,1.9,5.0,7.0,82.0,97.0,123.0,0.23,0.11,0.34,0.15,0.26,0.16,0.19,0.35,0.07,0.26,Matches
6,Antonio Barragán,es ESP,DF,33.0,27,26,2235.0,24.8,0.0,3.0,3.0,0.0,0.0,0.0,8.0,0.0,0.9,0.9,0.7,1.6,34.0,69.0,63.0,0.0,0.12,0.12,0.0,0.12,0.04,0.03,0.07,0.04,0.07,Matches
7,Josan,es ESP,"MF,DF",30.0,33,24,1926.0,21.4,4.0,2.0,6.0,4.0,0.0,0.0,3.0,0.0,1.2,1.2,1.5,2.8,65.0,40.0,92.0,0.19,0.09,0.28,0.19,0.28,0.06,0.07,0.13,0.06,0.13,Matches
8,Tete Morente,es ESP,"MF,FW",23.0,30,23,2019.0,22.4,2.0,5.0,7.0,2.0,0.0,0.0,5.0,0.0,1.7,1.7,1.9,3.6,45.0,48.0,130.0,0.09,0.22,0.31,0.09,0.31,0.07,0.08,0.16,0.07,0.16,Matches
9,Pere Milla,es ESP,"FW,MF",27.0,32,22,1981.0,22.0,4.0,3.0,7.0,4.0,0.0,0.0,6.0,0.0,5.0,5.0,2.1,7.1,27.0,46.0,79.0,0.18,0.14,0.32,0.18,0.32,0.23,0.1,0.32,0.23,0.32,Matches
10,Josema,es ESP,DF,24.0,29,21,1966.0,21.8,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.3,0.3,0.5,0.8,29.0,48.0,30.0,0.0,0.05,0.05,0.0,0.05,0.02,0.02,0.04,0.02,0.04,Matches
11,Dani Calvo,es ESP,DF,26.0,23,19,1779.0,19.8,2.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,1.3,1.3,0.0,1.3,2.0,31.0,2.0,0.1,0.0,0.1,0.1,0.1,0.06,0.0,0.06,0.06,0.06,Matches
12,Diego González,es ESP,DF,25.0,19,15,1280.0,14.2,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,0.4,0.4,0.1,0.5,7.0,36.0,1.0,0.07,0.0,0.07,0.07,0.07,0.03,0.01,0.03,0.03,0.03,Matches
13,Johan Mojica,co COL,DF,27.0,17,14,1204.0,13.4,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.2,0.2,0.8,1.0,26.0,35.0,47.0,0.0,0.0,0.0,0.0,0.0,0.01,0.06,0.07,0.01,0.07,Matches
14,Emiliano Rigoni,ar ARG,MF,27.0,23,12,1139.0,12.7,1.0,1.0,2.0,1.0,0.0,0.0,5.0,0.0,2.4,2.4,1.7,4.1,25.0,22.0,64.0,0.08,0.08,0.16,0.08,0.16,0.19,0.14,0.32,0.19,0.32,Matches
15,Guido Carrillo,ar ARG,FW,29.0,21,11,1002.0,11.1,3.0,2.0,5.0,3.0,0.0,0.0,3.0,0.0,2.5,2.5,1.1,3.6,9.0,31.0,30.0,0.27,0.18,0.45,0.27,0.45,0.22,0.1,0.32,0.22,0.32,Matches
16,Omenuke Mfulu,cd COD,MF,26.0,20,9,789.0,8.8,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.1,0.1,0.1,0.2,3.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02,Matches
17,Helibelton Palacios,co COL,DF,27.0,11,8,743.0,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,8.0,21.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,Matches
18,Paulo Gazzaniga,ar ARG,GK,28.0,8,8,720.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches
19,Juan Sánchez Miño,ar ARG,"DF,MF",30.0,9,5,495.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.1,0.1,8.0,9.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches
20,Cifu,es ESP,DF,29.0,11,4,451.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,9.0,10.0,16.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Matches
21,Pablo Piatti,ar ARG,"MF,FW",31.0,9,3,361.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,0.2,0.8,8.0,10.0,31.0,0.0,0.0,0.0,0.0,0.0,0.13,0.06,0.2,0.13,0.2,Matches
22,Víctor Rodríguez,es ESP,MF,31.0,16,2,426.0,4.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,9.0,25.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.21,0.0,0.21,Matches
23,Luismi,es ESP,"MF,DF",28.0,11,2,168.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
24,Jony Álamo,es ESP,MF,18.0,1,1,73.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,Matches
25,Youssouf Koné,ml MLI,"DF,MF",25.0,3,1,73.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
26,John Donald,es ESP,"DF,MF",19.0,2,1,50.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
27,Jeison Lucumí,co COL,MF,25.0,2,1,49.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
28,Nino,es ESP,"FW,MF",40.0,16,0,284.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6,0.6,0.7,1.3,7.0,6.0,15.0,0.0,0.0,0.0,0.0,0.0,0.2,0.23,0.42,0.2,0.42,Matches
29,Ramón Folch,es ESP,MF,30.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
30,Lluis Andreu,es ESP,GK,21.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
31,Gerard Barri,es ESP,DF,19.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
32,Diego Bri,es ESP,FW,17.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
33,Luis Castillo,es ESP,GK,20.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
34,César,es ESP,MF,19.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
35,Cheikh Diamanka,es ESP,DF,19.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
36,Mourad El Ghezouani,ma MAR,FW,22.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
37,Diego Matías Rodríguez,ar ARG,GK,31.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
