,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 33_level_0_Matches
0,Sergi Darder,es ESP,MF,28.0,38,38,3320.0,36.9,6.0,3.0,9.0,6.0,0.0,0.0,4.0,0.0,3.5,3.5,7.5,10.9,111.0,233.0,75.0,0.16,0.08,0.24,0.16,0.24,0.09,0.2,0.3,0.09,0.3,Matches
1,Joselu,es ESP,FW,32.0,34,33,2990.0,33.2,16.0,2.0,18.0,11.0,5.0,5.0,2.0,0.0,14.5,10.5,2.4,13.0,23.0,66.0,147.0,0.48,0.06,0.54,0.33,0.39,0.44,0.07,0.51,0.32,0.39,Matches
2,Leandro Cabrera,uy URU,DF,31.0,32,31,2669.0,29.7,0.0,1.0,1.0,0.0,0.0,0.0,10.0,2.0,2.3,2.3,1.5,3.7,13.0,95.0,8.0,0.0,0.03,0.03,0.0,0.03,0.08,0.05,0.13,0.08,0.13,Matches
3,Óscar Gil,es ESP,DF,25.0,33,31,2559.0,28.4,0.0,1.0,1.0,0.0,0.0,0.0,14.0,0.0,0.6,0.6,2.9,3.5,39.0,47.0,111.0,0.0,0.04,0.04,0.0,0.04,0.02,0.1,0.12,0.02,0.12,Matches
4,Martin Braithwaite,dk DEN,"FW,MF",31.0,31,29,2456.0,27.3,10.0,2.0,12.0,10.0,0.0,0.0,5.0,1.0,9.2,9.2,1.4,10.6,32.0,54.0,126.0,0.37,0.07,0.44,0.37,0.44,0.34,0.05,0.39,0.34,0.39,Matches
5,Brian Oliván,es ESP,DF,28.0,30,29,2403.0,26.7,1.0,7.0,8.0,1.0,0.0,0.0,7.0,0.0,0.6,0.6,4.3,4.9,48.0,80.0,139.0,0.04,0.26,0.3,0.04,0.3,0.02,0.16,0.18,0.02,0.18,Matches
6,Vinicius Souza,br BRA,MF,23.0,34,27,2428.0,27.0,1.0,1.0,2.0,1.0,0.0,0.0,10.0,1.0,0.8,0.8,0.6,1.4,13.0,82.0,14.0,0.04,0.04,0.07,0.04,0.07,0.03,0.02,0.05,0.03,0.05,Matches
7,Sergi Gómez,es ESP,DF,30.0,29,26,2339.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.9,0.9,0.4,1.3,2.0,43.0,1.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.05,0.03,0.05,Matches
8,Javi Puado,es ESP,"FW,MF",24.0,37,25,2340.0,26.0,7.0,2.0,9.0,7.0,0.0,0.0,4.0,0.0,7.8,7.8,2.6,10.4,60.0,58.0,117.0,0.27,0.08,0.35,0.27,0.35,0.3,0.1,0.4,0.3,0.4,Matches
9,Fernando Calero,es ESP,"DF,MF",26.0,27,20,1611.0,17.9,0.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,0.7,0.7,0.6,1.3,9.0,64.0,4.0,0.0,0.06,0.06,0.0,0.06,0.04,0.03,0.07,0.04,0.07,Matches
