,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 33_level_0_Matches
0,Marc Cucurella,es ESP,MF,22.0,37,37,3244.0,36.0,3.0,2.0,5.0,3.0,0.0,0.0,8.0,0.0,1.9,1.8,3.6,5.4,77.0,103.0,219.0,0.08,0.06,0.14,0.08,0.14,0.05,0.1,0.15,0.05,0.15,Matches
1,Djené,tg TOG,DF,28.0,34,34,2941.0,32.7,0.0,1.0,1.0,0.0,0.0,0.0,8.0,2.0,0.2,0.2,0.4,0.5,11.0,71.0,11.0,0.0,0.03,0.03,0.0,0.03,0.01,0.01,0.02,0.01,0.02,Matches
2,Nemanja Maksimović,rs SRB,MF,25.0,35,34,2728.0,30.3,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,2.0,2.0,0.9,2.9,20.0,55.0,32.0,0.03,0.0,0.03,0.03,0.03,0.07,0.03,0.1,0.07,0.1,Matches
3,Mauro Arambarri,uy URU,MF,24.0,34,33,2983.0,33.1,3.0,0.0,3.0,3.0,0.0,0.0,11.0,0.0,2.1,2.1,2.0,4.0,38.0,119.0,50.0,0.09,0.0,0.09,0.09,0.09,0.06,0.06,0.12,0.06,0.12,Matches
4,Mathías Olivera,uy URU,DF,22.0,31,30,2614.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.5,2.5,2.1,4.6,49.0,102.0,59.0,0.0,0.0,0.0,0.0,0.0,0.09,0.07,0.16,0.09,0.16,Matches
5,David Soria,es ESP,GK,27.0,28,28,2520.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
6,Damián Suárez,uy URU,DF,32.0,31,28,2434.0,27.0,1.0,0.0,1.0,1.0,0.0,0.0,13.0,1.0,0.3,0.3,1.0,1.3,28.0,135.0,53.0,0.04,0.0,0.04,0.04,0.04,0.01,0.04,0.05,0.01,0.05,Matches
7,Allan Nyom,cm CMR,"MF,DF",32.0,31,28,2323.0,25.8,0.0,2.0,2.0,0.0,0.0,0.0,10.0,1.0,1.0,1.0,2.3,3.3,35.0,59.0,66.0,0.0,0.08,0.08,0.0,0.08,0.04,0.09,0.13,0.04,0.13,Matches
8,Jaime Mata,es ESP,FW,31.0,33,23,2037.0,22.6,5.0,0.0,5.0,4.0,1.0,2.0,9.0,1.0,7.0,5.5,1.2,6.7,14.0,32.0,134.0,0.22,0.0,0.22,0.18,0.18,0.31,0.05,0.36,0.24,0.29,Matches
9,Cucho,co COL,"FW,MF",21.0,23,18,1466.0,16.3,2.0,3.0,5.0,2.0,0.0,0.0,5.0,0.0,2.7,2.7,1.3,4.0,51.0,40.0,98.0,0.12,0.18,0.31,0.12,0.31,0.17,0.08,0.25,0.17,0.25,Matches
10,David Timor,es ESP,"MF,DF",30.0,30,15,1395.0,15.5,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.6,0.6,1.2,1.7,7.0,70.0,4.0,0.0,0.0,0.0,0.0,0.0,0.04,0.08,0.11,0.04,0.11,Matches
11,Carles Aleñá,es ESP,"MF,FW",22.0,22,15,1366.0,15.2,2.0,2.0,4.0,2.0,0.0,0.0,1.0,0.0,1.7,1.7,2.7,4.3,20.0,77.0,51.0,0.13,0.13,0.26,0.13,0.26,0.11,0.18,0.29,0.11,0.29,Matches
12,Erick Cabaco,uy URU,DF,25.0,20,15,1326.0,14.7,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.5,0.5,0.0,0.5,6.0,44.0,1.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,Matches
13,Enes Ünal,tr TUR,FW,23.0,28,15,1318.0,14.6,4.0,2.0,6.0,3.0,1.0,1.0,4.0,0.0,4.8,4.0,1.5,5.5,14.0,28.0,70.0,0.27,0.14,0.41,0.2,0.34,0.32,0.1,0.43,0.27,0.37,Matches
14,Ángel Rodríguez,es ESP,"FW,MF",33.0,33,12,1374.0,15.3,5.0,0.0,5.0,4.0,1.0,2.0,4.0,0.0,5.7,4.1,0.6,4.7,23.0,15.0,94.0,0.33,0.0,0.33,0.26,0.26,0.37,0.04,0.41,0.27,0.31,Matches
15,Rubén Yáñez,es ESP,GK,26.0,10,10,900.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
16,Sofian Chakla,ma MAR,DF,26.0,11,9,897.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.3,0.3,0.1,0.4,2.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04,Matches
17,Xabier Etxeita,es ESP,DF,32.0,11,9,883.0,9.8,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.4,0.4,0.3,0.7,2.0,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.04,0.03,0.07,0.04,0.07,Matches
18,Takefusa Kubo,jp JPN,"MF,FW",19.0,18,8,805.0,8.9,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.7,0.7,1.2,1.9,21.0,25.0,57.0,0.11,0.11,0.22,0.11,0.22,0.08,0.13,0.21,0.08,0.21,Matches
19,Iglesias,es ESP,"DF,MF",22.0,10,7,605.0,6.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.4,0.5,5.0,13.0,14.0,0.0,0.0,0.0,0.0,0.0,0.02,0.05,0.07,0.02,0.07,Matches
20,Chema,es ESP,"DF,MF",28.0,10,7,557.0,6.2,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.1,0.1,0.2,0.3,2.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.05,0.01,0.05,Matches
21,Francisco Portillo,es ESP,"MF,FW",30.0,16,3,418.0,4.6,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.5,8.0,35.0,29.0,0.0,0.22,0.22,0.0,0.22,0.0,0.1,0.1,0.0,0.1,Matches
22,Victor Mollejo,es ESP,"MF,DF",19.0,4,0,72.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,3.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.11,0.0,0.11,Matches
23,John Joe,ie IRL,"MF,FW",16.0,6,0,65.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,1.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.31,0.31,0.31,Matches
24,Sabit Abdulai,gh GHA,MF,21.0,3,0,60.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
25,Emmanuel Amankwaa Akurugu,gh GHA,DF,18.0,1,0,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
26,José Antonio Miranda,gq EQG,"MF,DF",22.0,4,0,26.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.19,0.19,0.19,Matches
27,Mamor Niang,sn SEN,"MF,FW",18.0,1,0,22.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.28,0.28,0.28,Matches
28,Abdoulay Diaby,ml MLI,DF,29.0,1,0,18.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.1,0.3,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.31,0.34,1.65,1.31,1.65,Matches
29,Ante Palaversa,hr CRO,MF,20.0,2,0,9.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.43,1.43,0.0,1.43,Matches
30,Darío Poveda,es ESP,FW,23.0,1,0,5.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
31,David Alba,es ESP,MF,21.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
32,Chinchu,es ESP,DF,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
33,Ryan Nolan,ie IRL,DF,21.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
34,Squad Total,,,26.7,38,418,3420.0,38.0,27.0,14.0,41.0,24.0,3.0,5.0,120.0,7.0,34.4,30.5,23.6,54.1,443.0,1090.0,1076.0,0.71,0.37,1.08,0.63,1.0,0.91,0.62,1.53,0.8,1.42,
35,Opponent Total,,,27.4,38,418,3420.0,38.0,40.0,26.0,66.0,33.0,7.0,8.0,106.0,6.0,40.3,34.0,25.8,59.8,454.0,1195.0,1180.0,1.05,0.68,1.74,0.87,1.55,1.06,0.68,1.74,0.9,1.57,
