,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 33_level_0_Matches
0,David Soria,es ESP,GK,28.0,38,38,3414.0,37.9,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
1,Djené,tg TOG,DF,29.0,35,35,3115.0,34.6,0.0,1.0,1.0,0.0,0.0,0.0,11.0,1.0,0.1,0.1,0.4,0.6,24.0,89.0,9.0,0.0,0.03,0.03,0.0,0.03,0.0,0.01,0.02,0.0,0.02,Matches
2,Nemanja Maksimović,rs SRB,MF,26.0,35,34,2936.0,32.6,1.0,2.0,3.0,1.0,0.0,0.0,5.0,0.0,2.6,2.6,0.8,3.4,28.0,51.0,44.0,0.03,0.06,0.09,0.03,0.09,0.08,0.03,0.1,0.08,0.1,Matches
3,Enes Ünal,tr TUR,FW,24.0,37,33,2798.0,31.1,16.0,1.0,17.0,14.0,2.0,4.0,8.0,0.0,10.4,7.3,1.5,8.8,24.0,44.0,127.0,0.51,0.03,0.55,0.45,0.48,0.34,0.05,0.38,0.24,0.28,Matches
4,Mathías Olivera,uy URU,DF,23.0,32,32,2803.0,31.1,1.0,3.0,4.0,1.0,0.0,0.0,10.0,0.0,2.4,2.0,2.4,4.4,73.0,101.0,95.0,0.03,0.1,0.13,0.03,0.13,0.08,0.08,0.16,0.06,0.14,Matches
5,Damián Suárez,uy URU,DF,33.0,35,31,2711.0,30.1,0.0,3.0,3.0,0.0,0.0,0.0,13.0,0.0,0.4,0.4,3.0,3.4,33.0,116.0,96.0,0.0,0.1,0.1,0.0,0.1,0.01,0.1,0.11,0.01,0.11,Matches
6,Jorge Cuenca,es ESP,DF,21.0,32,31,2683.0,29.8,1.0,0.0,1.0,1.0,0.0,0.0,6.0,2.0,0.9,0.9,0.1,1.0,4.0,61.0,6.0,0.03,0.0,0.03,0.03,0.03,0.03,0.0,0.04,0.03,0.04,Matches
7,Stefan Mitrović,rs SRB,DF,31.0,32,31,2667.0,29.6,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.2,0.2,0.0,0.2,2.0,29.0,1.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Matches
8,Mauro Arambarri,uy URU,MF,25.0,31,31,2663.0,29.6,0.0,5.0,5.0,0.0,0.0,0.0,13.0,0.0,1.2,1.2,2.2,3.3,32.0,79.0,47.0,0.0,0.17,0.17,0.0,0.17,0.04,0.07,0.11,0.04,0.11,Matches
9,Carles Aleñá,es ESP,MF,23.0,33,30,2320.0,25.8,1.0,2.0,3.0,1.0,0.0,0.0,6.0,1.0,1.8,1.8,1.3,3.1,33.0,81.0,65.0,0.04,0.08,0.12,0.04,0.12,0.07,0.05,0.12,0.07,0.12,Matches
