,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 33_level_0_Matches
0,Carlos Neva,es ESP,DF,27.0,36,36,3146.0,35.0,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,0.1,0.1,3.2,3.3,43.0,111.0,98.0,0.0,0.06,0.06,0.0,0.06,0.0,0.09,0.1,0.0,0.1,Matches
1,Ignasi Miquel,es ESP,DF,30.0,34,33,2992.0,33.2,1.0,1.0,2.0,1.0,0.0,0.0,5.0,0.0,1.4,1.4,1.2,2.5,8.0,83.0,8.0,0.03,0.03,0.06,0.03,0.06,0.04,0.04,0.08,0.04,0.08,Matches
2,Gerard Gumbau,es ESP,MF,28.0,35,31,2674.0,29.7,0.0,3.0,3.0,0.0,0.0,0.0,12.0,0.0,1.8,1.8,4.0,5.8,20.0,135.0,29.0,0.0,0.1,0.1,0.0,0.1,0.06,0.14,0.19,0.06,0.19,Matches
3,Lucas Boyé,ar ARG,FW,27.0,31,30,2541.0,28.2,6.0,3.0,9.0,6.0,0.0,0.0,8.0,1.0,6.2,6.2,2.8,8.9,36.0,65.0,131.0,0.21,0.11,0.32,0.21,0.32,0.22,0.1,0.32,0.22,0.32,Matches
4,Sergio Ruiz,es ESP,MF,28.0,35,30,2494.0,27.7,0.0,4.0,4.0,0.0,0.0,0.0,9.0,0.0,0.7,0.7,1.3,2.0,34.0,113.0,23.0,0.0,0.14,0.14,0.0,0.14,0.03,0.05,0.07,0.03,0.07,Matches
5,Myrto Uzuni,al ALB,FW,28.0,34,28,2448.0,27.2,11.0,1.0,12.0,7.0,4.0,5.0,3.0,0.0,12.9,9.0,2.6,11.6,21.0,18.0,90.0,0.4,0.04,0.44,0.26,0.29,0.48,0.09,0.57,0.33,0.43,Matches
6,Ricard Sánchez,es ESP,DF,23.0,33,25,2295.0,25.5,3.0,0.0,3.0,3.0,0.0,0.0,8.0,0.0,1.0,1.0,1.9,2.9,49.0,84.0,103.0,0.12,0.0,0.12,0.12,0.12,0.04,0.08,0.11,0.04,0.11,Matches
7,Gonzalo Villar,es ESP,MF,25.0,35,21,1803.0,20.0,1.0,3.0,4.0,1.0,0.0,0.0,7.0,0.0,1.9,1.9,2.2,4.1,27.0,74.0,27.0,0.05,0.15,0.2,0.05,0.2,0.09,0.11,0.2,0.09,0.2,Matches
8,Bryan Zaragoza,es ESP,"MF,FW",22.0,21,18,1638.0,18.2,6.0,2.0,8.0,5.0,1.0,1.0,5.0,0.0,3.8,3.0,3.3,6.3,100.0,36.0,127.0,0.33,0.11,0.44,0.27,0.38,0.21,0.18,0.39,0.16,0.35,Matches
9,Miguel Ángel Rubio,es ESP,DF,25.0,19,17,1560.0,17.3,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,0.8,0.8,0.1,0.9,7.0,27.0,1.0,0.06,0.0,0.06,0.06,0.06,0.05,0.0,0.05,0.05,0.05,Matches
10,Augusto Batalla,ar ARG,GK,27.0,17,17,1530.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
11,Bruno Méndez,uy URU,DF,23.0,17,15,1333.0,14.8,2.0,0.0,2.0,2.0,0.0,0.0,4.0,0.0,0.6,0.6,0.1,0.7,8.0,47.0,14.0,0.14,0.0,0.14,0.14,0.14,0.04,0.01,0.05,0.04,0.05,Matches
12,Óscar Melendo,es ESP,"MF,FW",25.0,26,15,1122.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.4,0.4,0.5,0.9,21.0,38.0,33.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.07,0.04,0.07,Matches
13,André Ferreira,pt POR,GK,27.0,15,14,1340.0,14.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
14,Raúl Torrente,es ESP,DF,21.0,17,14,1250.0,13.9,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.2,0.2,0.4,0.6,4.0,33.0,2.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.04,0.01,0.04,Matches
15,Facundo Pellistri,uy URU,"MF,FW",21.0,15,14,1232.0,13.7,2.0,1.0,3.0,2.0,0.0,0.0,2.0,1.0,2.5,2.5,1.2,3.7,33.0,22.0,96.0,0.15,0.07,0.22,0.15,0.22,0.18,0.09,0.27,0.18,0.27,Matches
16,José Callejón,es ESP,"MF,FW",36.0,25,7,803.0,8.9,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,1.3,1.3,1.5,2.8,10.0,35.0,50.0,0.0,0.11,0.11,0.0,0.11,0.15,0.17,0.32,0.15,0.32,Matches
17,Kamil Jóźwiak,pl POL,MF,25.0,11,7,571.0,6.3,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,1.2,1.3,15.0,21.0,31.0,0.0,0.16,0.16,0.0,0.16,0.02,0.19,0.21,0.02,0.21,Matches
18,Antonio Puertas,es ESP,"MF,FW",31.0,27,6,730.0,8.1,0.0,2.0,2.0,0.0,0.0,2.0,3.0,1.0,3.2,1.6,0.6,2.2,18.0,22.0,46.0,0.0,0.25,0.25,0.0,0.25,0.39,0.08,0.47,0.2,0.27,Matches
19,Martin Hongla,cm CMR,"MF,DF",25.0,13,6,562.0,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,3.0,16.0,5.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,Matches
20,Kamil Piątkowski,pl POL,DF,23.0,9,6,505.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.8,0.8,0.1,0.9,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.02,0.17,0.14,0.17,Matches
21,Álvaro Carreras,es ESP,"MF,FW",20.0,13,5,475.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,0.4,0.4,0.8,13.0,14.0,31.0,0.0,0.0,0.0,0.0,0.0,0.07,0.08,0.15,0.07,0.15,Matches
22,Raúl Fernández,es ESP,GK,35.0,4,4,280.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
23,Matias Arezo,uy URU,FW,20.0,14,3,369.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.2,1.2,0.1,1.2,6.0,5.0,17.0,0.0,0.0,0.0,0.0,0.0,0.28,0.01,0.3,0.28,0.3,Matches
24,Marc Martínez,es ESP,GK,33.0,3,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
25,Wilson Manafá,pt POR,"DF,MF",29.0,4,3,240.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3,0.3,5.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.11,0.0,0.11,Matches
26,Faitout Maouassa,fr FRA,"DF,MF",25.0,6,2,229.0,2.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.5,0.7,8.0,6.0,15.0,0.0,0.39,0.39,0.0,0.39,0.06,0.18,0.24,0.06,0.24,Matches
27,Theo Corbeanu,ca CAN,"MF,FW",21.0,9,2,182.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.3,0.3,0.0,0.3,5.0,5.0,13.0,0.49,0.0,0.49,0.49,0.49,0.14,0.0,0.14,0.14,0.14,Matches
28,Víctor Díaz,es ESP,"DF,MF",35.0,4,2,162.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
29,Sergio Rodelas,es ESP,"FW,DF",18.0,3,2,122.0,1.4,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,1.2,3.0,1.0,5.0,0.0,0.74,0.74,0.0,0.74,0.02,0.84,0.86,0.02,0.86,Matches
30,Jesús Vallejo,es ESP,DF,26.0,3,1,108.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
31,Samu Omorodion,es ESP,FW,19.0,1,1,80.0,0.9,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.7,0.7,0.0,0.7,0.0,0.0,3.0,1.13,0.0,1.13,1.13,1.13,0.78,0.05,0.84,0.78,0.84,Matches
32,Njegoš Petrović,rs SRB,"MF,FW",24.0,10,0,157.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,3.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.02,0.06,0.08,0.02,0.08,Matches
33,Famara Diedhiou,sn SEN,"FW,MF",30.0,8,0,89.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,0.2,0.7,5.0,0.0,19.0,0.0,1.01,1.01,0.0,1.01,0.5,0.21,0.71,0.5,0.71,Matches
34,Shon Weissman,il ISR,FW,27.0,5,0,82.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches
35,Brau,es ESP,DF,21.0,1,0,31.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
36,Adri Bosch,es ESP,DF,22.0,1,0,26.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
37,Pablo Saenz,es ESP,MF,22.0,1,0,19.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
38,Alberto Soro,es ESP,MF,24.0,1,0,8.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.51,0.0,0.51,Matches
39,Alberto Perea,es ESP,"MF,FW",32.0,2,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.87,4.87,0.0,4.87,Matches
40,Fran Árbol,es ESP,GK,17.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
41,Eghosa Bello,ng NGA,FW,19.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
42,Mario González,es ESP,MF,19.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
43,Adrián López,es ESP,GK,24.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
44,Lassina Sangare,ci CIV,MF,21.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
45,Pol Tristán,es ESP,GK,21.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
46,Squad Total,,,26.7,38,418,3420.0,38.0,35.0,27.0,62.0,30.0,5.0,8.0,98.0,4.0,42.6,36.4,31.1,67.6,512.0,1044.0,1030.0,0.92,0.71,1.63,0.79,1.5,1.12,0.82,1.94,0.96,1.78,
