Index,Player,Nation,Position,Age,Matches Played (MP),Starts,Minutes Played (Min),90s Played (90s),Goals (Gls),Assists (Ast),Goals + Assists (G+A),Non-Penalty Goals (G-PK),Penalty Kicks Made (PK),Penalty Kicks Attempted (PKatt),Yellow Cards (CrdY),Red Cards (CrdR),Expected Goals (xG),Non-Penalty xG (npxG),Expected Assisted Goals (xAG),Non-Penalty xG + Assisted Goals (npxG+xAG),Progressive Carries (PrgC),Progressive Passes (PrgP),Progressive Passes Received (PrgR),Goals per 90 Minutes (Gls/90),Assists per 90 Minutes (Ast/90),Goals + Assists per 90 Minutes (G+A/90),Non-Penalty Goals per 90 Minutes (G-PK/90),Goals + Assists minus Penalty Kicks per 90 Minutes (G+A-PK/90),Expected Goals per 90 Minutes (xG/90),Expected Assisted Goals per 90 Minutes (xAG/90),Expected Goals + Assisted Goals per 90 Minutes (xG+xAG/90),Non-Penalty Expected Goals per 90 Minutes (npxG/90),Non-Penalty xG + Assisted Goals per 90 Minutes (npxG+xAG/90),Team,Season,Matches Played (MP)
0,Unai Simï¿½,es ESP,GK,26,36,36,3182,35.4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Athletic Club,2023-2024,
1,Iï¿½ï¿½aki Will,gh GHA,FW,29,34,32,2844,31.6,12,3,15,12,0,0,4,0,9.4,9.4,6.3,15.8,114,78,333,0.38,0.09,0.47,0.38,0.47,0.3,0.2,0.5,0.3,0.5,Athletic Club,2023-2024,
2,Daniel Vivian,es ESP,DF,24,33,31,2878,32,0,0,0,0,0,0,6,0,0.6,0.6,0.7,1.3,23,123,4,0,0,0,0,0,0.02,0.02,0.04,0.02,0.04,Athletic Club,2023-2024,
3,Aitor Paredes,es ESP,DF,23,34,31,2704,30,1,0,1,1,0,0,9,1,1.2,1.2,0.2,1.4,6,107,1,0.03,0,0.03,0.03,0.03,0.04,0.01,0.05,0.04,0.05,Athletic Club,2023-2024,
4,Gorka Guruzeta,es ESP,FW,26,32,30,2217,24.6,14,5,19,14,0,1,2,0,11.6,10.8,2.4,13.2,18,55,102,0.57,0.2,0.77,0.57,0.77,0.47,0.1,0.57,0.44,0.54,Athletic Club,2023-2024,
5,Nico Williams,es ESP,FW,21,31,29,2263,25.1,5,11,16,5,0,0,6,1,6,6,5.7,11.7,143,66,302,0.2,0.44,0.64,0.2,0.64,0.24,0.22,0.46,0.24,0.46,Athletic Club,2023-2024,
6,ýýscar de Marcos,es ESP,DF,34,28,26,2258,25.1,1,5,6,1,0,0,5,0,0.6,0.6,3.1,3.7,51,143,125,0.04,0.2,0.24,0.04,0.24,0.03,0.12,0.15,0.03,0.15,Athletic Club,2023-2024,
7,Iï¿½ï¿½igo Ruiz de Galar,es ESP,MF,29,29,25,2091,23.2,1,1,2,1,0,0,7,0,0.3,0.3,2.3,2.6,26,147,36,0.04,0.04,0.09,0.04,0.09,0.01,0.1,0.11,0.01,0.11,Athletic Club,2023-2024,
8,Oihan Sancet,es ESP,MF,23,30,25,1975,21.9,4,5,9,4,0,1,5,2,6.3,5.5,4.7,10.2,76,121,157,0.18,0.23,0.41,0.18,0.41,0.29,0.21,0.5,0.25,0.47,Athletic Club,2023-2024,
9,Iï¿½ï¿½igo L,es ESP,DF,30,27,22,2002,22.2,0,2,2,0,0,0,4,0,0.2,0.2,1.1,1.2,44,119,35,0,0.09,0.09,0,0.09,0.01,0.05,0.06,0.01,0.06,Athletic Club,2023-2024,
10,Yuri Berchiche,es ESP,DF,33,27,22,1930,21.4,3,1,4,3,0,0,5,0,0.9,0.7,1.6,2.4,36,132,77,0.14,0.05,0.19,0.14,0.19,0.04,0.08,0.12,0.03,0.11,Athletic Club,2023-2024,
11,Mikel Vesga,es ESP,MF,30,27,18,1534,17,3,1,4,1,2,2,2,0,2.7,1.1,1.2,2.3,10,88,29,0.18,0.06,0.23,0.06,0.12,0.16,0.07,0.23,0.07,0.14,Athletic Club,2023-2024,
