,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 33_level_0_Matches
0,Carlos Clerc,es ESP,DF,28.0,35,30,2781.0,30.9,0.0,3.0,3.0,0.0,0.0,0.0,5.0,0.0,0.3,0.3,3.2,3.5,87.0,147.0,196.0,0.0,0.1,0.1,0.0,0.1,0.01,0.1,0.11,0.01,0.11,Matches
1,José Luis Morales,es ESP,"MF,FW",33.0,38,30,2439.0,27.1,13.0,3.0,16.0,13.0,0.0,1.0,3.0,0.0,7.2,6.5,4.9,11.4,78.0,75.0,190.0,0.48,0.11,0.59,0.48,0.59,0.27,0.18,0.45,0.24,0.42,Matches
2,Aitor Fernández,es ESP,GK,29.0,29,29,2610.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
3,Roger Martí,es ESP,FW,29.0,33,26,2198.0,24.4,12.0,4.0,16.0,10.0,2.0,4.0,4.0,0.0,9.7,6.5,2.8,9.3,12.0,44.0,155.0,0.49,0.16,0.66,0.41,0.57,0.4,0.12,0.51,0.27,0.38,Matches
4,Mickael Malsa,mq MTQ,MF,24.0,35,25,2338.0,26.0,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,1.6,1.6,0.6,2.2,24.0,137.0,15.0,0.04,0.0,0.04,0.04,0.04,0.06,0.02,0.09,0.06,0.09,Matches
5,Rúben Vezo,pt POR,DF,26.0,32,25,2316.0,25.7,1.0,0.0,1.0,1.0,0.0,0.0,7.0,0.0,0.3,0.3,0.2,0.5,25.0,111.0,6.0,0.04,0.0,0.04,0.04,0.04,0.01,0.01,0.02,0.01,0.02,Matches
6,Óscar Duarte,cr CRC,DF,31.0,29,23,2060.0,22.9,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.8,0.8,0.2,0.9,6.0,52.0,3.0,0.04,0.0,0.04,0.04,0.04,0.03,0.01,0.04,0.03,0.04,Matches
7,Jorge de Frutos,es ESP,MF,23.0,37,22,2186.0,24.3,4.0,9.0,13.0,4.0,0.0,0.0,3.0,0.0,3.4,3.4,4.4,7.8,72.0,74.0,204.0,0.16,0.37,0.54,0.16,0.54,0.14,0.18,0.32,0.14,0.32,Matches
8,Gonzalo Melero,es ESP,"MF,FW",26.0,29,21,1853.0,20.6,7.0,1.0,8.0,7.0,0.0,0.0,4.0,0.0,3.7,3.7,1.5,5.2,32.0,112.0,56.0,0.34,0.05,0.39,0.34,0.39,0.18,0.07,0.25,0.18,0.25,Matches
9,Jorge Miramón,es ESP,DF,31.0,26,19,1732.0,19.2,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,1.7,2.2,48.0,83.0,93.0,0.0,0.16,0.16,0.0,0.16,0.03,0.09,0.11,0.03,0.11,Matches
10,Enis Bardhi,mk MKD,MF,25.0,26,19,1682.0,18.7,1.0,2.0,3.0,1.0,0.0,0.0,4.0,0.0,2.7,2.7,1.1,3.9,44.0,117.0,117.0,0.05,0.11,0.16,0.05,0.16,0.15,0.06,0.21,0.15,0.21,Matches
11,Sergio Postigo,es ESP,DF,31.0,22,19,1623.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.1,0.1,0.2,0.3,9.0,58.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.0,0.02,Matches
12,Dani Gómez,es ESP,FW,22.0,34,17,1666.0,18.5,2.0,2.0,4.0,2.0,0.0,0.0,3.0,0.0,2.7,2.7,0.8,3.5,42.0,33.0,133.0,0.11,0.11,0.22,0.11,0.22,0.15,0.04,0.19,0.15,0.19,Matches
13,Rubén Rochina,es ESP,MF,29.0,25,17,1404.0,15.6,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,1.4,1.4,1.7,3.1,26.0,113.0,59.0,0.0,0.06,0.06,0.0,0.06,0.09,0.11,0.2,0.09,0.2,Matches
14,Rober,es ESP,"DF,MF",25.0,19,16,1425.0,15.8,0.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,0.3,0.3,0.5,0.8,12.0,79.0,1.0,0.0,0.06,0.06,0.0,0.06,0.02,0.03,0.05,0.02,0.05,Matches
