,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 33_level_0_Matches
0,Martin Valjent,sk SVK,DF,25.0,36,36,3181.0,35.3,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.3,0.3,0.7,1.0,25.0,70.0,5.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03,Matches
1,Pablo Maffeo,es ESP,DF,24.0,35,35,2945.0,32.7,1.0,4.0,5.0,1.0,0.0,0.0,10.0,0.0,1.7,1.7,2.1,3.8,72.0,53.0,108.0,0.03,0.12,0.15,0.03,0.15,0.05,0.06,0.12,0.05,0.12,Matches
2,Dani Rodríguez,es ESP,"MF,FW",33.0,36,33,2832.0,31.5,3.0,3.0,6.0,3.0,0.0,0.0,7.0,0.0,3.2,3.2,2.8,6.0,65.0,94.0,130.0,0.1,0.1,0.19,0.1,0.19,0.1,0.09,0.19,0.1,0.19,Matches
3,Brian Oliván,es ESP,DF,27.0,28,24,2189.0,24.3,1.0,0.0,1.0,1.0,0.0,1.0,7.0,0.0,1.8,1.0,2.2,3.2,31.0,65.0,91.0,0.04,0.0,0.04,0.04,0.04,0.07,0.09,0.16,0.04,0.13,Matches
4,Iddrisu Baba,gh GHA,MF,25.0,26,23,1934.0,21.5,1.0,0.0,1.0,1.0,0.0,0.0,9.0,0.0,1.4,1.4,0.6,2.0,14.0,73.0,6.0,0.05,0.0,0.05,0.05,0.05,0.06,0.03,0.09,0.06,0.09,Matches
5,Manolo Reina,es ESP,GK,36.0,21,21,1890.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
6,Jaume Costa,es ESP,DF,33.0,25,21,1828.0,20.3,0.0,4.0,4.0,0.0,0.0,0.0,5.0,1.0,0.8,0.8,2.4,3.2,39.0,68.0,108.0,0.0,0.2,0.2,0.0,0.2,0.04,0.12,0.16,0.04,0.16,Matches
7,Antonio Sánchez,es ESP,"MF,FW",24.0,29,19,1616.0,18.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,1.4,1.4,0.4,1.8,24.0,66.0,50.0,0.06,0.0,0.06,0.06,0.06,0.08,0.02,0.1,0.08,0.1,Matches
8,Ángel Rodríguez,es ESP,"FW,MF",34.0,29,19,1544.0,17.2,4.0,2.0,6.0,4.0,0.0,0.0,4.0,0.0,3.9,3.9,0.9,4.8,23.0,27.0,85.0,0.23,0.12,0.35,0.23,0.35,0.23,0.06,0.28,0.23,0.28,Matches
9,Takefusa Kubo,jp JPN,"FW,MF",20.0,28,17,1605.0,17.8,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,2.8,2.8,3.0,5.7,65.0,68.0,107.0,0.06,0.0,0.06,0.06,0.06,0.15,0.17,0.32,0.15,0.32,Matches
10,Antonio Raillo,es ESP,DF,29.0,17,17,1530.0,17.0,2.0,0.0,2.0,2.0,0.0,0.0,8.0,0.0,0.7,0.7,0.0,0.7,15.0,50.0,0.0,0.12,0.0,0.12,0.12,0.12,0.04,0.0,0.04,0.04,0.04,Matches
11,Salva Sevilla,es ESP,MF,37.0,28,17,1507.0,16.7,5.0,3.0,8.0,1.0,4.0,4.0,2.0,0.0,4.8,1.7,2.8,4.5,30.0,132.0,14.0,0.3,0.18,0.48,0.06,0.24,0.29,0.17,0.46,0.1,0.27,Matches
12,Franco Russo,ar ARG,DF,26.0,19,17,1464.0,16.3,1.0,0.0,1.0,1.0,0.0,0.0,7.0,2.0,0.2,0.2,0.2,0.4,4.0,41.0,3.0,0.06,0.0,0.06,0.06,0.06,0.01,0.01,0.02,0.01,0.02,Matches
13,Iñigo Ruiz de Galarreta,es ESP,MF,27.0,22,17,1378.0,15.3,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.4,0.4,0.6,1.0,14.0,105.0,16.0,0.0,0.0,0.0,0.0,0.0,0.03,0.04,0.06,0.03,0.06,Matches
14,Vedat Muriqi,xk KVX,FW,27.0,16,16,1438.0,16.0,5.0,3.0,8.0,3.0,2.0,2.0,6.0,0.0,5.3,3.7,1.4,5.1,19.0,33.0,84.0,0.31,0.19,0.5,0.19,0.38,0.33,0.09,0.42,0.23,0.32,Matches
15,Lee Kang-in,kr KOR,"MF,FW",20.0,30,15,1411.0,15.7,1.0,2.0,3.0,1.0,0.0,0.0,4.0,1.0,1.5,1.5,2.1,3.6,32.0,48.0,64.0,0.06,0.13,0.19,0.06,0.19,0.09,0.13,0.23,0.09,0.23,Matches
16,Sergio Rico,es ESP,GK,27.0,14,14,1260.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
17,Rodrigo Battaglia,ar ARG,MF,30.0,26,12,1179.0,13.1,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.4,0.4,0.1,0.5,19.0,41.0,2.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.04,0.03,0.04,Matches
18,Amath,sn SEN,"FW,MF",25.0,19,9,884.0,9.8,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,1.4,1.4,0.9,2.3,18.0,19.0,58.0,0.0,0.1,0.1,0.0,0.1,0.14,0.1,0.23,0.14,0.23,Matches
19,Fernando Niño,es ESP,FW,20.0,23,9,884.0,9.8,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,3.8,3.8,0.4,4.2,18.0,8.0,47.0,0.2,0.0,0.2,0.2,0.2,0.39,0.04,0.43,0.39,0.43,Matches
20,Abdón Prats,es ESP,FW,28.0,23,6,641.0,7.1,3.0,0.0,3.0,3.0,0.0,0.0,3.0,0.0,1.5,1.5,0.7,2.2,4.0,17.0,33.0,0.42,0.0,0.42,0.42,0.42,0.21,0.1,0.31,0.21,0.31,Matches
21,Jordi Mboula,es ESP,FW,22.0,11,5,434.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.5,0.5,0.1,0.5,13.0,3.0,30.0,0.0,0.0,0.0,0.0,0.0,0.1,0.02,0.11,0.1,0.11,Matches
22,Aleksandar Sedlar,rs SRB,"DF,MF",29.0,10,3,404.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.1,0.1,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches
23,Giovanni González,uy URU,DF,26.0,9,3,365.0,4.1,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.3,0.3,0.9,1.2,6.0,13.0,20.0,0.25,0.0,0.25,0.25,0.25,0.09,0.22,0.3,0.09,0.3,Matches
24,Joan Sastre Vanrell,es ESP,DF,24.0,7,2,258.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,4.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Matches
25,Leo Román,es ESP,GK,21.0,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
26,Lago Junior,ci CIV,"FW,MF",30.0,6,1,177.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.0,0.6,13.0,3.0,17.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.28,0.28,0.28,Matches
27,Javier Llabrés,es ESP,"FW,MF",18.0,5,1,132.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,3.0,5.0,15.0,0.0,0.0,0.0,0.0,0.0,0.08,0.09,0.17,0.08,0.17,Matches
28,Matthew Hoppe,us USA,"FW,MF",20.0,5,1,131.0,1.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.3,0.0,1.0,9.0,0.0,0.69,0.69,0.0,0.69,0.1,0.08,0.18,0.1,0.18,Matches
29,Aleix Febas,es ESP,MF,25.0,4,1,117.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,0.2,1.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.12,0.0,0.12,Matches
30,Dominik Greif,sk SVK,GK,24.0,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
31,Josep Antoni Gayá,es ESP,DF,21.0,1,1,58.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
32,Clément Grenier,fr FRA,MF,30.0,5,0,60.0,0.7,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.6,0.6,0.0,0.6,1.0,2.0,2.0,1.5,0.0,1.5,1.5,1.5,0.92,0.02,0.94,0.92,0.94,Matches
33,Marc Carmona,es ESP,DF,20.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
34,Marcos Fernández Cózar,es ESP,DF,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
35,Pablo Gálvez,es ESP,FW,19.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
36,Tomás Giaquinto,ar ARG,MF,21.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
37,Pere Joan,es ESP,GK,19.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
38,Miguelito,es ESP,DF,20.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
39,Victor Mollejo,es ESP,"FW,MF",20.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
40,Ferrán Quetglas,es ESP,GK,16.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
41,Squad Total,,,27.9,38,418,3420.0,38.0,33.0,23.0,56.0,27.0,6.0,7.0,114.0,7.0,38.8,33.3,25.7,59.0,575.0,1129.0,1110.0,0.87,0.61,1.47,0.71,1.32,1.02,0.68,1.7,0.88,1.55,
42,Opponent Total,,,27.7,38,418,3420.0,38.0,59.0,40.0,99.0,53.0,6.0,8.0,114.0,6.0,49.3,43.0,33.8,76.8,650.0,1379.0,1358.0,1.55,1.05,2.61,1.39,2.45,1.3,0.89,2.19,1.13,2.02,
