,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 33_level_0_Matches
0,David García,es ESP,DF,26.0,35,35,3150.0,35.0,1.0,0.0,1.0,1.0,0.0,0.0,8.0,0.0,1.1,1.1,0.6,1.7,4.0,124.0,2.0,0.03,0.0,0.03,0.03,0.03,0.03,0.02,0.05,0.03,0.05,Matches
1,Rubén García,es ESP,"MF,FW",27.0,37,33,2718.0,30.2,3.0,5.0,8.0,2.0,1.0,1.0,2.0,0.0,2.6,1.8,5.5,7.3,40.0,98.0,197.0,0.1,0.17,0.26,0.07,0.23,0.09,0.18,0.27,0.06,0.24,Matches
2,Sergio Herrera,es ESP,GK,27.0,33,32,2958.0,32.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.2,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches
3,Jon Moncayola,es ESP,MF,22.0,36,28,2660.0,29.6,2.0,0.0,2.0,2.0,0.0,0.0,7.0,1.0,1.4,1.4,1.4,2.7,27.0,111.0,45.0,0.07,0.0,0.07,0.07,0.07,0.05,0.05,0.09,0.05,0.09,Matches
4,Nacho Vidal,es ESP,DF,25.0,34,25,2348.0,26.1,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.8,0.8,1.6,2.4,18.0,87.0,58.0,0.0,0.0,0.0,0.0,0.0,0.03,0.06,0.09,0.03,0.09,Matches
5,Oier Sanjurjo,es ESP,MF,34.0,32,24,2084.0,23.2,0.0,2.0,2.0,0.0,0.0,0.0,10.0,0.0,1.1,1.1,2.2,3.4,8.0,80.0,35.0,0.0,0.09,0.09,0.0,0.09,0.05,0.1,0.15,0.05,0.15,Matches
6,Aridane Hernández,es ESP,DF,31.0,24,24,2026.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.1,0.1,0.4,0.6,3.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.02,0.01,0.02,Matches
7,Juan Cruz Armada,es ESP,DF,28.0,26,23,1962.0,21.8,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.1,0.1,0.5,0.5,19.0,58.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,Matches
8,Jonathan Calleri,ar ARG,FW,26.0,25,20,1544.0,17.2,5.0,2.0,7.0,5.0,0.0,0.0,4.0,0.0,5.7,5.5,0.7,6.3,20.0,31.0,97.0,0.29,0.12,0.41,0.29,0.41,0.33,0.04,0.38,0.32,0.37,Matches
9,Roberto Torres,es ESP,"MF,FW",31.0,35,19,1894.0,21.0,7.0,1.0,8.0,3.0,4.0,5.0,0.0,0.0,5.9,2.5,1.6,4.1,27.0,79.0,95.0,0.33,0.05,0.38,0.14,0.19,0.28,0.08,0.35,0.12,0.2,Matches
10,Ante Budimir,hr CRO,FW,29.0,30,18,1625.0,18.1,11.0,0.0,11.0,11.0,0.0,0.0,3.0,0.0,9.2,9.2,0.8,10.0,14.0,29.0,103.0,0.61,0.0,0.61,0.61,0.61,0.51,0.04,0.55,0.51,0.55,Matches
11,Lucas Torró,es ESP,MF,26.0,25,17,1548.0,17.2,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,1.5,1.5,0.4,1.9,5.0,55.0,15.0,0.0,0.06,0.06,0.0,0.06,0.09,0.02,0.11,0.09,0.11,Matches
12,Kike Barja,es ESP,"MF,FW",23.0,33,17,1433.0,15.9,2.0,3.0,5.0,2.0,0.0,0.0,2.0,0.0,2.6,2.6,2.0,4.6,46.0,55.0,143.0,0.13,0.19,0.31,0.13,0.31,0.16,0.12,0.29,0.16,0.29,Matches
13,Iñigo Pérez,es ESP,"MF,DF",32.0,22,16,1347.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.3,0.3,0.9,1.1,6.0,76.0,34.0,0.0,0.0,0.0,0.0,0.0,0.02,0.06,0.08,0.02,0.08,Matches
14,Facundo Roncaglia,ar ARG,DF,33.0,17,14,1232.0,13.7,1.0,1.0,2.0,1.0,0.0,0.0,3.0,1.0,0.5,0.5,0.5,1.0,12.0,33.0,24.0,0.07,0.07,0.15,0.07,0.15,0.04,0.04,0.07,0.04,0.07,Matches
15,Unai García,es ESP,DF,28.0,17,13,1242.0,13.8,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.4,0.4,0.4,0.8,4.0,35.0,1.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.06,0.03,0.06,Matches
16,Manu Sánchez,es ESP,DF,19.0,16,10,976.0,10.8,0.0,4.0,4.0,0.0,0.0,0.0,4.0,0.0,0.1,0.1,1.2,1.4,20.0,51.0,54.0,0.0,0.37,0.37,0.0,0.37,0.01,0.11,0.13,0.01,0.13,Matches
17,Darko Brašanac,rs SRB,MF,28.0,16,9,909.0,10.1,2.0,0.0,2.0,2.0,0.0,0.0,4.0,0.0,0.9,0.9,0.1,1.1,22.0,40.0,46.0,0.2,0.0,0.2,0.2,0.2,0.09,0.01,0.11,0.09,0.11,Matches
18,Jony,es ESP,"MF,FW",29.0,22,9,871.0,9.7,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,2.7,3.3,24.0,48.0,84.0,0.0,0.21,0.21,0.0,0.21,0.07,0.28,0.34,0.07,0.34,Matches
19,Enric Gallego,es ESP,FW,33.0,22,8,806.0,9.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,1.8,1.8,0.6,2.4,5.0,31.0,46.0,0.0,0.22,0.22,0.0,0.22,0.2,0.06,0.27,0.2,0.27,Matches
20,Javi Martínez,es ESP,"MF,FW",20.0,13,6,460.0,5.1,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.7,0.7,0.4,1.0,4.0,11.0,19.0,0.2,0.2,0.39,0.2,0.39,0.13,0.07,0.2,0.13,0.2,Matches
21,Adrián López,es ESP,"FW,MF",32.0,17,5,481.0,5.3,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.4,1.4,0.2,1.6,12.0,23.0,43.0,0.19,0.19,0.37,0.19,0.37,0.27,0.03,0.3,0.27,0.3,Matches
22,Jonás Ramalho,es ESP,DF,27.0,5,3,304.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches
23,Juan Pérez,es ESP,GK,24.0,3,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
24,Rubén,es ESP,GK,36.0,3,3,187.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
25,Ezequiel Ávila,ar ARG,"FW,MF",26.0,8,2,202.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.4,1.0,6.0,9.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.16,0.16,0.16,Matches
26,Raúl Navas,es ESP,DF,32.0,2,2,168.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,Matches
27,Marc Cardona,es ESP,"FW,DF",25.0,3,0,53.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.4,0.4,0.4,Matches
28,Brandon,es ESP,"FW,MF",25.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
29,Asier Córdoba,es ESP,FW,20.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
30,Iñaki,es ESP,GK,23.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
31,Iván Martínez,es ESP,GK,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
32,Aimar Oroz,es ESP,MF,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
33,Kike Saverio,es ESP,MF,21.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
34,Gorka Zabarte,es ESP,DF,21.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
35,Squad Total,,,27.9,38,418,3420.0,38.0,36.0,25.0,61.0,31.0,5.0,6.0,80.0,5.0,38.7,34.7,24.9,59.7,345.0,1220.0,1200.0,0.95,0.66,1.61,0.82,1.47,1.02,0.66,1.68,0.91,1.57,
36,Opponent Total,,,27.4,38,418,3420.0,38.0,46.0,31.0,77.0,41.0,5.0,8.0,65.0,0.0,47.8,41.5,33.2,74.6,678.0,1525.0,1510.0,1.21,0.82,2.03,1.08,1.89,1.26,0.87,2.13,1.09,1.96,
