,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 33_level_0_Matches
0,Emerson,br BRA,DF,21.0,34,34,2991.0,33.2,1.0,4.0,5.0,1.0,0.0,0.0,9.0,1.0,1.5,1.5,2.7,4.3,91.0,132.0,186.0,0.03,0.12,0.15,0.03,0.15,0.05,0.08,0.13,0.05,0.13,Matches
1,Guido Rodríguez,ar ARG,MF,26.0,35,34,2864.0,31.8,1.0,0.0,1.0,1.0,0.0,0.0,10.0,0.0,2.3,2.3,0.7,3.0,14.0,127.0,12.0,0.03,0.0,0.03,0.03,0.03,0.07,0.02,0.1,0.07,0.1,Matches
2,Nabil Fekir,fr FRA,"MF,FW",27.0,33,33,2622.0,29.1,5.0,6.0,11.0,4.0,1.0,3.0,5.0,1.0,7.0,4.6,5.2,9.8,103.0,152.0,182.0,0.17,0.21,0.38,0.14,0.34,0.24,0.18,0.42,0.16,0.34,Matches
3,Sergio Canales,es ESP,"MF,FW",29.0,31,28,2498.0,27.8,8.0,6.0,14.0,6.0,2.0,3.0,4.0,0.0,5.3,2.9,6.7,9.6,102.0,200.0,127.0,0.29,0.22,0.5,0.22,0.43,0.19,0.24,0.43,0.1,0.35,Matches
4,Aïssa Mandi,dz ALG,DF,28.0,28,27,2392.0,26.6,3.0,1.0,4.0,3.0,0.0,0.0,6.0,2.0,2.1,2.1,0.8,2.9,5.0,62.0,3.0,0.11,0.04,0.15,0.11,0.15,0.08,0.03,0.11,0.08,0.11,Matches
5,Víctor Ruiz,es ESP,DF,31.0,27,24,2157.0,24.0,2.0,0.0,2.0,2.0,0.0,0.0,9.0,0.0,1.5,1.5,0.1,1.6,13.0,76.0,3.0,0.08,0.0,0.08,0.08,0.08,0.06,0.0,0.07,0.06,0.07,Matches
6,Aitor Ruibal,es ESP,"FW,MF",24.0,28,21,1593.0,17.7,2.0,2.0,4.0,2.0,0.0,0.0,2.0,0.0,2.9,2.9,2.1,5.0,40.0,54.0,148.0,0.11,0.11,0.23,0.11,0.23,0.16,0.12,0.28,0.16,0.28,Matches
7,Claudio Bravo,cl CHI,GK,37.0,20,20,1800.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.1,0.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches
8,Álex Moreno,es ESP,DF,27.0,23,20,1786.0,19.8,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,0.9,0.9,2.8,3.7,61.0,65.0,84.0,0.0,0.1,0.1,0.0,0.1,0.05,0.14,0.19,0.05,0.19,Matches
9,Marc Bartra,es ESP,DF,29.0,19,19,1694.0,18.8,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.6,0.6,1.0,1.6,4.0,31.0,4.0,0.0,0.05,0.05,0.0,0.05,0.03,0.05,0.08,0.03,0.08,Matches
