,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 33_level_0_Matches
0,Fran Garcia,es ESP,DF,22.0,38,38,3407.0,37.9,2.0,3.0,5.0,2.0,0.0,0.0,1.0,0.0,1.2,1.2,1.6,2.8,183.0,147.0,167.0,0.05,0.08,0.13,0.05,0.13,0.03,0.04,0.07,0.03,0.07,Matches
1,Stole Dimitrievski,mk MKD,GK,28.0,37,37,3324.0,36.9,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
2,Iván Balliu,al ALB,DF,30.0,37,37,3232.0,35.9,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.3,0.3,2.8,3.1,75.0,131.0,147.0,0.0,0.0,0.0,0.0,0.0,0.01,0.08,0.09,0.01,0.09,Matches
3,Isaac Palazón Camacho,es ESP,"FW,MF",27.0,37,36,2965.0,32.9,9.0,5.0,14.0,8.0,1.0,3.0,4.0,0.0,7.7,5.3,5.2,10.5,49.0,127.0,181.0,0.27,0.15,0.42,0.24,0.39,0.23,0.16,0.39,0.16,0.32,Matches
4,Catena,es ESP,DF,27.0,35,35,3103.0,34.5,1.0,1.0,2.0,1.0,0.0,0.0,14.0,1.0,1.4,1.4,1.4,2.8,8.0,119.0,2.0,0.03,0.03,0.06,0.03,0.06,0.04,0.04,0.08,0.04,0.08,Matches
5,Álvaro García,es ESP,"FW,MF",29.0,35,34,2870.0,31.9,5.0,5.0,10.0,5.0,0.0,0.0,7.0,0.0,3.6,3.6,5.7,9.3,116.0,71.0,293.0,0.16,0.16,0.31,0.16,0.31,0.11,0.18,0.29,0.11,0.29,Matches
6,Florian Lejeune,fr FRA,DF,31.0,31,31,2565.0,28.5,4.0,0.0,4.0,4.0,0.0,0.0,6.0,3.0,2.8,2.8,0.3,3.1,8.0,80.0,3.0,0.14,0.0,0.14,0.14,0.14,0.1,0.01,0.11,0.1,0.11,Matches
7,Óscar Valentín,es ESP,MF,27.0,34,29,2555.0,28.4,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.5,0.5,0.9,1.4,21.0,133.0,17.0,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.05,0.02,0.05,Matches
8,Santi Comesaña,es ESP,MF,25.0,35,29,2451.0,27.2,3.0,2.0,5.0,3.0,0.0,0.0,6.0,0.0,2.5,2.5,2.2,4.6,40.0,150.0,58.0,0.11,0.07,0.18,0.11,0.18,0.09,0.08,0.17,0.09,0.17,Matches
9,Óscar Trejo,ar ARG,"MF,FW",34.0,34,28,2145.0,23.8,3.0,4.0,7.0,2.0,1.0,2.0,9.0,0.0,3.4,1.8,3.3,5.1,56.0,123.0,110.0,0.13,0.17,0.29,0.08,0.25,0.14,0.14,0.28,0.08,0.21,Matches
10,Sergio Camello,es ESP,FW,21.0,38,27,2401.0,26.7,6.0,5.0,11.0,6.0,0.0,0.0,1.0,0.0,7.3,7.3,2.4,9.6,40.0,42.0,122.0,0.22,0.19,0.41,0.22,0.41,0.27,0.09,0.36,0.27,0.36,Matches
11,Pathé Ciss,sn SEN,"MF,DF",28.0,32,12,1282.0,14.2,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,2.6,2.6,0.3,2.9,10.0,65.0,5.0,0.07,0.0,0.07,0.07,0.07,0.18,0.02,0.2,0.18,0.2,Matches
12,Unai López,es ESP,MF,26.0,34,12,1254.0,13.9,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,1.3,1.3,1.4,2.7,17.0,98.0,43.0,0.07,0.14,0.22,0.07,0.22,0.09,0.1,0.19,0.09,0.19,Matches
13,Abdul Mumin,gh GHA,DF,24.0,16,9,922.0,10.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.4,0.4,0.0,0.4,5.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches
14,Raúl de Tomás,es ESP,FW,27.0,19,9,805.0,8.9,4.0,0.0,4.0,3.0,1.0,2.0,2.0,0.0,5.1,3.5,0.5,4.0,13.0,18.0,51.0,0.45,0.0,0.45,0.34,0.34,0.57,0.06,0.63,0.39,0.45,Matches
15,Salvi,es ESP,"FW,MF",31.0,24,4,490.0,5.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.8,0.8,0.7,1.4,27.0,13.0,51.0,0.0,0.0,0.0,0.0,0.0,0.14,0.12,0.26,0.14,0.26,Matches
