,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 33_level_0_Matches
0,Álex Remiro,es ESP,GK,25.0,38,38,3420.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
1,Robin Le Normand,es ESP,DF,23.0,33,30,2747.0,30.5,0.0,1.0,1.0,0.0,0.0,0.0,5.0,1.0,2.3,2.3,0.4,2.7,22.0,101.0,4.0,0.0,0.03,0.03,0.0,0.03,0.07,0.01,0.09,0.07,0.09,Matches
2,Mikel Oyarzabal,es ESP,"FW,MF",23.0,33,30,2408.0,26.8,11.0,8.0,19.0,5.0,6.0,7.0,1.0,0.0,11.3,5.8,7.7,13.5,46.0,89.0,186.0,0.41,0.3,0.71,0.19,0.49,0.42,0.29,0.71,0.22,0.5,Matches
3,Alexander Isak,se SWE,FW,20.0,34,30,2340.0,26.0,17.0,2.0,19.0,17.0,0.0,1.0,4.0,0.0,16.8,16.0,1.8,17.8,44.0,44.0,153.0,0.65,0.08,0.73,0.65,0.73,0.64,0.07,0.71,0.61,0.68,Matches
4,Andoni Gorosabel,es ESP,DF,23.0,32,28,2382.0,26.5,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.7,0.7,2.6,3.3,55.0,107.0,127.0,0.0,0.04,0.04,0.0,0.04,0.03,0.1,0.12,0.03,0.12,Matches
5,Mikel Merino,es ESP,MF,24.0,26,25,2154.0,23.9,2.0,4.0,6.0,2.0,0.0,0.0,5.0,0.0,3.6,3.6,3.4,7.0,28.0,181.0,75.0,0.08,0.17,0.25,0.08,0.25,0.15,0.14,0.29,0.15,0.29,Matches
6,Ander Guevara,es ESP,MF,23.0,31,25,2081.0,23.1,1.0,1.0,2.0,1.0,0.0,0.0,5.0,0.0,0.4,0.4,0.7,1.1,31.0,140.0,21.0,0.04,0.04,0.09,0.04,0.09,0.02,0.03,0.05,0.02,0.05,Matches
7,Portu,es ESP,"FW,MF",28.0,37,24,2184.0,24.3,8.0,3.0,11.0,8.0,0.0,0.0,3.0,0.0,5.9,5.9,3.7,9.6,56.0,38.0,201.0,0.33,0.12,0.45,0.33,0.45,0.24,0.15,0.39,0.24,0.39,Matches
8,Nacho Monreal,es ESP,DF,34.0,26,23,2082.0,23.1,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.2,1.2,1.3,2.5,24.0,71.0,119.0,0.04,0.04,0.09,0.04,0.09,0.05,0.06,0.11,0.05,0.11,Matches
9,Aritz Elustondo,es ESP,DF,26.0,23,22,1884.0,20.9,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,0.5,0.5,0.2,0.8,27.0,112.0,12.0,0.05,0.0,0.05,0.05,0.05,0.03,0.01,0.04,0.03,0.04,Matches
10,Igor Zubeldia,es ESP,DF,23.0,24,21,1959.0,21.8,1.0,1.0,2.0,1.0,0.0,0.0,5.0,0.0,1.3,1.3,0.6,1.9,17.0,75.0,3.0,0.05,0.05,0.09,0.05,0.09,0.06,0.03,0.09,0.06,0.09,Matches
11,Martín Zubimendi,es ESP,MF,21.0,31,17,1882.0,20.9,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.7,0.7,0.6,1.3,25.0,117.0,11.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.06,0.03,0.06,Matches
12,David Silva,es ESP,MF,34.0,21,17,1399.0,15.5,2.0,5.0,7.0,2.0,0.0,0.0,4.0,0.0,2.4,2.4,3.3,5.7,52.0,141.0,76.0,0.13,0.32,0.45,0.13,0.45,0.16,0.21,0.37,0.16,0.37,Matches
13,Aihen Muñoz,es ESP,DF,22.0,16,14,1210.0,13.4,0.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,0.3,0.3,0.5,0.7,30.0,41.0,59.0,0.0,0.07,0.07,0.0,0.07,0.02,0.04,0.06,0.02,0.06,Matches
14,Ander Barrenetxea,es ESP,"MF,FW",18.0,31,13,1307.0,14.5,3.0,0.0,3.0,3.0,0.0,0.0,7.0,0.0,1.9,1.9,1.9,3.8,37.0,37.0,106.0,0.21,0.0,0.21,0.21,0.21,0.13,0.13,0.26,0.13,0.26,Matches
15,Adnan Januzaj,be BEL,"FW,MF",25.0,27,12,1014.0,11.3,4.0,5.0,9.0,1.0,3.0,3.0,2.0,0.0,5.0,2.6,4.0,6.6,45.0,67.0,116.0,0.36,0.44,0.8,0.09,0.53,0.44,0.35,0.79,0.23,0.58,Matches
