,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 33_level_0_Matches
0,Daniel Wass,dk DEN,"MF,DF",31.0,35,35,2979.0,33.1,4.0,1.0,5.0,3.0,1.0,1.0,8.0,0.0,2.9,2.1,2.3,4.4,37.0,122.0,89.0,0.12,0.03,0.15,0.09,0.12,0.09,0.07,0.16,0.06,0.13,Matches
1,José Luis Gayà,es ESP,DF,25.0,33,32,2846.0,31.6,1.0,7.0,8.0,1.0,0.0,0.0,6.0,0.0,2.6,2.6,3.9,6.5,62.0,119.0,201.0,0.03,0.22,0.25,0.03,0.25,0.08,0.12,0.21,0.08,0.21,Matches
2,Carlos Soler,es ESP,MF,23.0,32,31,2735.0,30.4,11.0,8.0,19.0,4.0,7.0,9.0,7.0,0.0,9.5,2.4,4.7,7.1,46.0,153.0,30.0,0.36,0.26,0.63,0.13,0.39,0.31,0.15,0.47,0.08,0.23,Matches
3,Gabriel Paulista,br BRA,DF,29.0,31,31,2716.0,30.2,4.0,1.0,5.0,4.0,0.0,0.0,6.0,0.0,1.0,1.0,0.5,1.5,9.0,81.0,4.0,0.13,0.03,0.17,0.13,0.17,0.03,0.02,0.05,0.03,0.05,Matches
4,Maxi Gómez,uy URU,FW,23.0,31,31,2689.0,29.9,7.0,1.0,8.0,7.0,0.0,0.0,7.0,1.0,6.6,6.6,0.9,7.5,19.0,41.0,102.0,0.23,0.03,0.27,0.23,0.27,0.22,0.03,0.25,0.22,0.25,Matches
5,Jaume Doménech,es ESP,GK,29.0,28,28,2520.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
6,Gonçalo Guedes,pt POR,"MF,FW",23.0,31,27,2287.0,25.4,5.0,5.0,10.0,5.0,0.0,0.0,3.0,1.0,3.7,3.7,4.0,7.7,111.0,115.0,154.0,0.2,0.2,0.39,0.2,0.39,0.15,0.16,0.3,0.15,0.3,Matches
7,Uroš Račić,rs SRB,MF,22.0,31,25,2187.0,24.3,1.0,1.0,2.0,1.0,0.0,0.0,6.0,0.0,1.6,1.6,0.3,1.8,22.0,104.0,16.0,0.04,0.04,0.08,0.04,0.08,0.06,0.01,0.08,0.06,0.08,Matches
8,Thierry Correia,pt POR,DF,21.0,29,25,2137.0,23.7,1.0,1.0,2.0,1.0,0.0,0.0,6.0,1.0,0.5,0.5,1.2,1.7,48.0,46.0,94.0,0.04,0.04,0.08,0.04,0.08,0.02,0.05,0.07,0.02,0.07,Matches
9,Mouctar Diakhaby,gn GUI,DF,23.0,26,24,2079.0,23.1,1.0,0.0,1.0,1.0,0.0,0.0,4.0,1.0,1.2,1.2,0.0,1.2,7.0,47.0,8.0,0.04,0.0,0.04,0.04,0.04,0.05,0.0,0.05,0.05,0.05,Matches
10,Hugo Guillamón,es ESP,DF,20.0,25,21,1988.0,22.1,1.0,0.0,1.0,1.0,0.0,0.0,8.0,0.0,0.7,0.7,0.1,0.8,18.0,93.0,1.0,0.05,0.0,0.05,0.05,0.05,0.03,0.01,0.04,0.03,0.04,Matches
11,Yunus Musah,us USA,MF,17.0,32,17,1530.0,17.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.1,1.1,1.1,2.2,43.0,20.0,89.0,0.06,0.0,0.06,0.06,0.06,0.06,0.07,0.13,0.06,0.13,Matches
12,Lee Kang-in,kr KOR,"FW,MF",19.0,24,15,1262.0,14.0,0.0,4.0,4.0,0.0,0.0,0.0,1.0,0.0,1.1,1.1,2.5,3.6,36.0,80.0,41.0,0.0,0.29,0.29,0.0,0.29,0.08,0.18,0.26,0.08,0.26,Matches
13,Denis Cheryshev,ru RUS,MF,29.0,21,13,1101.0,12.2,0.0,3.0,3.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,2.4,3.4,37.0,37.0,95.0,0.0,0.25,0.25,0.0,0.25,0.08,0.19,0.28,0.08,0.28,Matches
14,Kévin Gameiro,fr FRA,FW,33.0,27,10,1077.0,12.0,4.0,1.0,5.0,4.0,0.0,0.0,0.0,0.0,3.8,3.8,0.9,4.7,7.0,19.0,68.0,0.33,0.08,0.42,0.33,0.42,0.32,0.07,0.39,0.32,0.39,Matches
15,Jasper Cillessen,nl NED,GK,31.0,10,10,900.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
16,Manu Vallejo,es ESP,"FW,MF",23.0,30,9,950.0,10.6,5.0,0.0,5.0,5.0,0.0,0.0,2.0,0.0,4.2,4.2,0.8,4.9,22.0,25.0,60.0,0.47,0.0,0.47,0.47,0.47,0.4,0.07,0.47,0.4,0.47,Matches
17,Toni Lato,es ESP,DF,22.0,15,8,728.0,8.1,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.7,0.7,0.2,0.8,6.0,19.0,30.0,0.12,0.0,0.12,0.12,0.12,0.08,0.02,0.1,0.08,0.1,Matches
18,Alejandro Blanco,es ESP,MF,21.0,13,6,580.0,6.4,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.5,0.5,0.5,0.9,17.0,2.0,44.0,0.16,0.0,0.16,0.16,0.16,0.07,0.08,0.15,0.07,0.15,Matches
19,Geoffrey Kondogbia,cf CTA,MF,27.0,5,5,440.0,4.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,5.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Matches
20,Jason,es ESP,"MF,DF",26.0,17,4,441.0,4.9,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.2,0.2,0.5,0.7,17.0,13.0,23.0,0.0,0.0,0.0,0.0,0.0,0.04,0.11,0.14,0.04,0.14,Matches
21,Eliaquim Mangala,fr FRA,DF,29.0,7,4,321.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.2,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.05,Matches
22,Vicente Esquerdo,es ESP,MF,21.0,4,3,231.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.04,0.01,0.04,Matches
23,Francisco Reis Ferreira,pt POR,DF,23.0,3,2,181.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
24,Christian Oliva,uy URU,MF,24.0,9,1,198.0,2.2,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,3.0,8.0,1.0,0.0,0.91,0.91,0.0,0.91,0.02,0.06,0.08,0.02,0.08,Matches
25,Guillem Molina,es ESP,DF,20.0,2,1,153.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
