,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 33_level_0_Matches
0,Óscar Plano,es ESP,"MF,FW",29.0,36,30,2517.0,28.0,5.0,5.0,10.0,5.0,0.0,0.0,1.0,1.0,4.8,4.8,2.1,6.9,29.0,77.0,109.0,0.18,0.18,0.36,0.18,0.36,0.17,0.07,0.25,0.17,0.25,Matches
1,Fabián Orellana,cl CHI,"MF,FW",34.0,30,27,2138.0,23.8,6.0,2.0,8.0,2.0,4.0,4.0,5.0,0.0,6.0,2.8,3.5,6.3,67.0,77.0,148.0,0.25,0.08,0.34,0.08,0.17,0.25,0.15,0.4,0.12,0.27,Matches
2,Bruno González,es ESP,DF,30.0,27,25,2263.0,25.1,1.0,0.0,1.0,1.0,0.0,0.0,8.0,0.0,0.3,0.3,0.0,0.4,5.0,31.0,2.0,0.04,0.0,0.04,0.04,0.04,0.01,0.0,0.01,0.01,0.01,Matches
3,Jordi Masip,es ESP,GK,31.0,25,25,2250.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
4,Rubén Alcaraz,es ESP,MF,29.0,30,25,2165.0,24.1,1.0,0.0,1.0,1.0,0.0,0.0,10.0,0.0,1.8,1.8,0.5,2.3,25.0,107.0,21.0,0.04,0.0,0.04,0.04,0.04,0.07,0.02,0.1,0.07,0.1,Matches
5,Shon Weissman,il ISR,FW,24.0,32,24,2133.0,23.7,6.0,1.0,7.0,6.0,0.0,0.0,3.0,0.0,5.6,5.6,2.6,8.3,17.0,22.0,73.0,0.25,0.04,0.3,0.25,0.3,0.24,0.11,0.35,0.24,0.35,Matches
6,Joaquín Fernández,es ESP,DF,24.0,25,24,2073.0,23.0,1.0,0.0,1.0,1.0,0.0,0.0,8.0,0.0,1.4,1.4,0.5,1.9,0.0,42.0,2.0,0.04,0.0,0.04,0.04,0.04,0.06,0.02,0.08,0.06,0.08,Matches
7,Nacho,es ESP,DF,31.0,23,21,1813.0,20.1,0.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,0.6,0.6,1.4,2.0,28.0,80.0,67.0,0.0,0.05,0.05,0.0,0.05,0.03,0.07,0.1,0.03,0.1,Matches
8,Roque Mesa,es ESP,MF,31.0,25,21,1761.0,19.6,1.0,0.0,1.0,0.0,1.0,1.0,4.0,1.0,1.7,0.9,0.8,1.7,44.0,106.0,45.0,0.05,0.0,0.05,0.0,0.0,0.08,0.04,0.13,0.04,0.09,Matches
9,Sergi Guardiola,es ESP,FW,29.0,29,19,1795.0,19.9,1.0,2.0,3.0,0.0,1.0,2.0,5.0,0.0,4.6,3.1,2.0,5.1,37.0,34.0,126.0,0.05,0.1,0.15,0.0,0.1,0.23,0.1,0.33,0.15,0.25,Matches
10,Fede San Emeterio,es ESP,MF,23.0,24,17,1460.0,16.2,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.1,0.1,0.1,0.2,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,Matches
