Index,Player,Nation,Team,Position,Age,Matches Played (MP),Starts,Minutes Played (Min),90s Played (90s),Goals (Gls),Assists (Ast),Goals + Assists (G+A),Non-Penalty Goals (G-PK),Penalty Kicks Made (PK),Penalty Kicks Attempted (PKatt),Yellow Cards (CrdY),Red Cards (CrdR),Expected Goals (xG),Non-Penalty xG (npxG),Expected Assisted Goals (xAG),Non-Penalty xG + Assisted Goals (npxG+xAG),Progressive Carries (PrgC),Progressive Passes (PrgP),Progressive Passes Received (PrgR),Goals per 90 Minutes (Gls/90),Assists per 90 Minutes (Ast/90),Goals + Assists per 90 Minutes (G+A/90),Non-Penalty Goals per 90 Minutes (G-PK/90),Goals + Assists minus Penalty Kicks per 90 Minutes (G+A-PK/90),Expected Goals per 90 Minutes (xG/90),Expected Assisted Goals per 90 Minutes (xAG/90),Expected Goals + Assisted Goals per 90 Minutes (xG+xAG/90),Non-Penalty Expected Goals per 90 Minutes (npxG/90),Non-Penalty xG + Assisted Goals per 90 Minutes (npxG+xAG/90),Unnamed: 35,Season,Matches Played (MP).1
0,Unai Simón,es ESP,AC,GK,23.0,37.0,37,3330.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2020-2021,
1,Iñigo Martínez,es ESP,AC,DF,29.0,28.0,28,2519.0,28.0,1.0,0.0,1.0,1.0,0.0,0.0,9.0,1.0,1.1,1.1,0.5,1.7,31.0,125.0,7.0,0.04,0.0,0.04,0.04,0.04,0.04,0.02,0.06,0.04,0.06,Matches,2020-2021,
2,Iñaki Williams,gh GHA,AC,FW,26.0,38.0,27,2387.0,26.5,6.0,6.0,12.0,5.0,1.0,1.0,1.0,0.0,6.2,5.4,5.1,10.5,73.0,34.0,233.0,0.23,0.23,0.45,0.19,0.41,0.23,0.19,0.43,0.2,0.4,Matches,2020-2021,
3,Álex Berenguer,es ESP,AC,"MF,FW",25.0,35.0,27,2278.0,25.3,8.0,4.0,12.0,8.0,0.0,0.0,4.0,0.0,6.2,6.2,3.4,9.7,64.0,85.0,201.0,0.32,0.16,0.47,0.32,0.47,0.25,0.14,0.38,0.25,0.38,Matches,2020-2021,
4,Ander Capa,es ESP,AC,DF,28.0,28.0,25,2131.0,23.7,2.0,1.0,3.0,2.0,0.0,0.0,5.0,0.0,1.1,1.1,1.1,2.3,66.0,80.0,100.0,0.08,0.04,0.13,0.08,0.13,0.05,0.05,0.1,0.05,0.1,Matches,2020-2021,
5,Unai Núñez,es ESP,AC,DF,23.0,25.0,23,2109.0,23.4,1.0,1.0,2.0,1.0,0.0,0.0,6.0,0.0,1.8,1.8,0.3,2.1,10.0,65.0,1.0,0.04,0.04,0.09,0.04,0.09,0.08,0.01,0.09,0.08,0.09,Matches,2020-2021,
6,Iker Muniain,es ESP,AC,"MF,FW",27.0,28.0,23,1943.0,21.6,5.0,3.0,8.0,5.0,0.0,0.0,1.0,0.0,4.5,4.5,3.4,7.9,72.0,164.0,133.0,0.23,0.14,0.37,0.23,0.37,0.21,0.16,0.37,0.21,0.37,Matches,2020-2021,
7,Yeray Álvarez,es ESP,AC,DF,25.0,23.0,22,1948.0,21.6,1.0,0.0,1.0,1.0,0.0,0.0,6.0,0.0,0.6,0.6,0.5,1.1,19.0,65.0,2.0,0.05,0.0,0.05,0.05,0.05,0.03,0.02,0.05,0.03,0.05,Matches,2020-2021,
8,Dani García,es ESP,AC,MF,30.0,27.0,21,1920.0,21.3,0.0,1.0,1.0,0.0,0.0,0.0,8.0,0.0,0.3,0.3,0.6,0.9,14.0,108.0,12.0,0.0,0.05,0.05,0.0,0.05,0.02,0.03,0.04,0.02,0.04,Matches,2020-2021,
9,Raúl García,es ESP,AC,"FW,MF",34.0,34.0,21,1743.0,19.4,5.0,1.0,6.0,3.0,2.0,3.0,8.0,2.0,6.1,3.7,1.3,5.0,17.0,73.0,74.0,0.26,0.05,0.31,0.15,0.21,0.31,0.06,0.38,0.19,0.26,Matches,2020-2021,
10,Yuri Berchiche,es ESP,AC,DF,30.0,23.0,21,1682.0,18.7,1.0,3.0,4.0,1.0,0.0,0.0,3.0,0.0,0.9,0.9,2.0,2.9,55.0,98.0,105.0,0.05,0.16,0.21,0.05,0.21,0.05,0.11,0.15,0.05,0.15,Matches,2020-2021,
11,Mikel Vesga,es ESP,AC,MF,27.0,30.0,20,1722.0,19.1,0.0,1.0,1.0,0.0,0.0,0.0,7.0,0.0,1.6,1.6,1.1,2.6,14.0,95.0,15.0,0.0,0.05,0.05,0.0,0.05,0.08,0.06,0.14,0.08,0.14,Matches,2020-2021,
12,Unai Vencedor Paris,es ESP,AC,MF,19.0,28.0,19,1701.0,18.9,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.3,0.3,0.2,0.6,7.0,122.0,9.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,Matches,2020-2021,
13,Mikel Balenziaga,es ESP,AC,DF,32.0,23.0,17,1689.0,18.8,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.8,0.9,28.0,52.0,48.0,0.0,0.05,0.05,0.0,0.05,0.0,0.04,0.05,0.0,0.05,Matches,2020-2021,
14,Óscar de Marcos,es ESP,AC,"DF,MF",31.0,25.0,17,1520.0,16.9,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,1.8,1.8,2.0,3.8,54.0,49.0,107.0,0.06,0.12,0.18,0.06,0.18,0.11,0.12,0.22,0.11,0.22,Matches,2020-2021,
15,Asier Villalibre,es ESP,AC,FW,22.0,35.0,16,1589.0,17.7,4.0,2.0,6.0,4.0,0.0,0.0,1.0,0.0,4.3,4.3,2.3,6.6,25.0,24.0,107.0,0.23,0.11,0.34,0.23,0.34,0.24,0.13,0.37,0.24,0.37,Matches,2020-2021,
16,Jon Morcillo,es ESP,AC,"MF,FW",21.0,30.0,16,1363.0,15.1,2.0,2.0,4.0,2.0,0.0,0.0,3.0,0.0,1.2,1.2,2.6,3.9,54.0,51.0,142.0,0.13,0.13,0.26,0.13,0.26,0.08,0.17,0.26,0.08,0.26,Matches,2020-2021,
17,Unai López,es ESP,AC,MF,24.0,26.0,15,1424.0,15.8,3.0,0.0,3.0,3.0,0.0,0.0,7.0,0.0,1.1,1.1,1.7,2.8,25.0,97.0,14.0,0.19,0.0,0.19,0.19,0.19,0.07,0.11,0.18,0.07,0.18,Matches,2020-2021,
18,Oihan Sancet,es ESP,AC,"FW,MF",20.0,24.0,11,1035.0,11.5,2.0,2.0,4.0,2.0,0.0,0.0,2.0,0.0,2.8,2.8,1.2,4.0,26.0,41.0,76.0,0.17,0.17,0.35,0.17,0.35,0.25,0.1,0.35,0.25,0.35,Matches,2020-2021,
19,Iñigo Lekue,es ESP,AC,DF,27.0,18.0,5,644.0,7.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.4,0.4,23.0,27.0,33.0,0.0,0.0,0.0,0.0,0.0,0.01,0.05,0.06,0.01,0.06,Matches,2020-2021,
20,Ibai Gómez,es ESP,AC,MF,30.0,13.0,4,424.0,4.7,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.8,1.0,1.0,20.0,28.0,0.0,0.21,0.21,0.0,0.21,0.04,0.17,0.21,0.04,0.21,Matches,2020-2021,
21,Oier Zarraga,es ESP,AC,MF,21.0,5.0,1,100.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,1.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.07,0.05,0.12,0.07,0.12,Matches,2020-2021,
22,Iñigo Córdoba,es ESP,AC,"FW,MF",23.0,3.0,1,95.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,1.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.12,0.12,0.12,Matches,2020-2021,
23,Jokin Ezkieta,es ESP,AC,GK,23.0,1.0,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2020-2021,
24,Nico Williams,es ESP,AC,MF,18.0,2.0,0,57.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.08,0.08,0.08,Matches,2020-2021,
25,Iñigo Vicente,es ESP,AC,"FW,MF",22.0,3.0,0,52.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,2.0,10.0,8.0,0.0,0.0,0.0,0.0,0.0,0.05,0.38,0.43,0.05,0.43,Matches,2020-2021,
26,Kenan Kodro,ba BIH,AC,"FW,MF",26.0,3.0,0,44.0,0.5,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.8,0.0,0.0,0.0,1.0,1.0,2.0,2.05,0.0,2.05,0.0,0.0,1.66,0.0,1.66,0.05,0.05,Matches,2020-2021,
0,Fernando Pacheco,es ESP,Alaves,GK,28.0,,37,3349.0,37.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2020-2021,38.0
1,Joselu,es ESP,Alaves,FW,30.0,,34,3026.0,33.6,11.0,3.0,14.0,9.0,2.0,4.0,1.0,0.0,12.8,9.6,3.8,13.4,25.0,99.0,137.0,0.33,0.09,0.42,0.27,0.36,0.38,0.11,0.49,0.28,0.4,Matches,2020-2021,37.0
2,Florian Lejeune,fr FRA,Alaves,DF,29.0,,34,3015.0,33.5,1.0,1.0,2.0,1.0,0.0,0.0,10.0,0.0,2.4,2.4,0.9,3.3,5.0,66.0,5.0,0.03,0.03,0.06,0.03,0.06,0.07,0.03,0.1,0.07,0.1,Matches,2020-2021,34.0
3,Tomás Pina Isla,es ESP,Alaves,MF,32.0,,31,2575.0,28.6,1.0,1.0,2.0,1.0,0.0,0.0,12.0,0.0,0.7,0.7,1.0,1.7,11.0,94.0,9.0,0.03,0.03,0.07,0.03,0.07,0.03,0.04,0.06,0.03,0.06,Matches,2020-2021,33.0
